caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,requestedBlockageLengthSymbols,blockageLengthSymbols,actualBlockageRatio,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,5,5,0.012626262626262626,ber,1.1733333333333333e-05,50000,176,0,0,1.1733333333333333e-05
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,10,10,0.025252525252525252,ber,0.0039026666666666667,5000,5854,0,0,0.0039026666666666667
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,20,20,0.050505050505050504,ber,0.025192,5000,37788,0,0,0.025192
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,30,30,0.07575757575757576,ber,0.039053333333333336,5000,58580,0,0,0.039053333333333336
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,5,5,0.011737089201877934,ber,0.0,50000,0,1,1,3.3333333333333334e-08
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,10,10,0.023474178403755867,ber,0.0,50000,0,1,1,3.3333333333333334e-08
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,20,20,0.046948356807511735,ber,0.0018673333333333333,5000,2801,0,0,0.0018673333333333333
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,30,30,0.070422535211267609,ber,0.026351333333333334,5000,39527,0,0,0.026351333333333334
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,5,5,0.01282051282051282,ber,0.0,50000,0,1,1,3.3333333333333334e-08
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,10,10,0.02564102564102564,ber,3.52e-05,50000,528,0,0,3.52e-05
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,20,20,0.05128205128205128,ber,0.01571,5000,23565,0,0,0.01571
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,30,30,0.076923076923076927,ber,0.039964,5000,59946,0,0,0.039964
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,5,5,0.011904761904761904,ber,0.006870666666666666,5000,10306,0,0,0.006870666666666666
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,10,10,0.023809523809523808,ber,0.013212,5000,19818,0,0,0.013212
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,20,20,0.047619047619047616,ber,0.025209333333333334,5000,37814,0,0,0.025209333333333334
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,30,30,0.071428571428571425,ber,0.037506,5000,56259,0,0,0.037506
