caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,requestedBlockageLengthSymbols,blockageLengthSymbols,actualBlockageRatio,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,5,5,0.020161290322580645,ber,5.33e-05,50000,533,0,0,5.33e-05
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,10,10,0.040322580645161289,ber,0.007389,5000,7389,0,0,0.007389
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,20,20,0.080645161290322578,ber,0.041819,5000,41819,0,0,0.041819
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,30,30,0.12096774193548387,ber,0.064714,5000,64714,0,0,0.064714
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,5,5,0.015337423312883436,ber,0.0,50000,0,1,1,5e-08
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,10,10,0.030674846625766871,ber,3.5e-06,50000,35,0,0,3.5e-06
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,20,20,0.061349693251533742,ber,0.004843,5000,4843,0,0,0.004843
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,30,30,0.09202453987730061,ber,0.039529,5000,39529,0,0,0.039529
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,5,5,0.017241379310344827,ber,0.0,50000,0,1,1,5e-08
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,10,10,0.034482758620689655,ber,0.00017776523702031603,44300,1575,0,0,0.00017776523702031603
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,20,20,0.068965517241379309,ber,0.024024,5000,24024,0,0,0.024024
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,30,30,0.10344827586206896,ber,0.05464,5000,54640,0,0,0.05464
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,5,5,0.017543859649122806,ber,0.010623,5000,10623,0,0,0.010623
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,10,10,0.035087719298245612,ber,0.01986,5000,19860,0,0,0.01986
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,20,20,0.070175438596491224,ber,0.038333,5000,38333,0,0,0.038333
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,30,30,0.10526315789473684,ber,0.05607,5000,56070,0,0,0.05607
