file,sha256,bytes
stage12_alpha_summary.png,6fff4afd15e05580d4b5884b6827b49031b670ca26276b07f8e259857b2b1a3e,35514
stage12_alpha_summary_figure_data.csv,347c648d477cce311c537b7b34a61ebdaae6bcf78d6f859cc20d8e3a36764647,111
stage12_alpha_summary_plot_check.md,47481ba456f3c3ba15d249a131f79ec01ce4ef237f3975b8f32d3b885c9e6f6a,162
stage12_alpha_summary_plot_manifest.json,8e927c3b1392426158bddc1f32a8a888ca4f343eaaf48c1bb58847f35e120894,889
stage12_avgdecodetimeus.png,f130dd3beeb6920044c27138ba22b4bc6c09a8119619e1157cee743df24bd1ac,103750
stage12_avgdecodetimeus_figure_data.csv,30d24f2e5821c1ab1961927d4b6a96c97707ab95045edc11c2f606d2b0c097e5,25309
stage12_avgdecodetimeus_plot_check.md,47481ba456f3c3ba15d249a131f79ec01ce4ef237f3975b8f32d3b885c9e6f6a,162
stage12_avgdecodetimeus_plot_manifest.json,bf8cfca596d7340eec30cf264800d2a30e6eb622f4e5901c80aeb69e1f25ce92,918
stage12_avgiterations.png,981edde2d7da147d02bb2fbb012ee597347bf03b8ee5831f6d30a8432e5a0cee,120659
stage12_avgiterations_figure_data.csv,018714c91c444e330b74f574e1af92804234306c2fc091dbcf11b2c45d32ec8c,24559
stage12_avgiterations_plot_check.md,47481ba456f3c3ba15d249a131f79ec01ce4ef237f3975b8f32d3b885c9e6f6a,162
stage12_avgiterations_plot_manifest.json,94c4f7afee5adad5d794d4ac308df492ed8a9a299e172b349fc1de3a8d8820ad,914
stage12_ber.png,40ad00bbdc6e0b8c862b61df9ff1b1593a46a11a6db79ae5894f76b2aab24669,114057
stage12_ber_figure_data.csv,8888189a05952ae08fe24c7c0b937e5b718747256503890906f5250c7d3b6f29,24951
stage12_ber_plot_check.md,47481ba456f3c3ba15d249a131f79ec01ce4ef237f3975b8f32d3b885c9e6f6a,162
stage12_ber_plot_manifest.json,d3735021223fa6c4cfd9313c25f36e58e6b8bcb4fd31cff7b8c5c7c08812af27,901
stage12_bp_nms_comparison.csv,4b3d622d41013b3ca17b8c22fe4df83b296d8e22b1074da9d1b9ca6a790f268c,3150
stage12_case_summary.csv,99b263bd4f00ffe7ca4872218052aa349545c7f716be4f45b4e3117c4761ca63,300
stage12_fer.png,1eea0514b5bde908a7a18ee2d9214eb53355d520be0219f54e04402a1194aafe,116366
stage12_fer_figure_data.csv,0cdbc2538bd55e48d421931e9cef2d72815a8650a5246650f2a9110903d1eb52,24127
stage12_fer_plot_check.md,47481ba456f3c3ba15d249a131f79ec01ce4ef237f3975b8f32d3b885c9e6f6a,162
stage12_fer_plot_manifest.json,58a4653900f8c46568c6bf5ac65c044757d3621453129845766fc7761e577842,901
stage12_final_smoke_report.md,93daca161f3b5abb1e2282ef4a1bfd5003f38a980156c1bd756bef4e669c143b,290
stage12_formal_parameter_recommendation.csv,fde97e3af73c10abfeaa53d623d0b5ae50df7c37f697b25e289942c212e93f08,286
stage12_maxdecodetimeus.png,3ae86686aacf2a50467b2f2dc62f3e1975ff0a119ec0e529640d54c12bc70b08,119750
stage12_maxdecodetimeus_figure_data.csv,ae04b2c735c55ea5c8a52f9a1b9fa548c4749edf947b8453079fca27ba849a2d,24487
stage12_maxdecodetimeus_plot_check.md,47481ba456f3c3ba15d249a131f79ec01ce4ef237f3975b8f32d3b885c9e6f6a,162
stage12_maxdecodetimeus_plot_manifest.json,7879e2ba9e8f9f25a4413491d13dd8af4201d85b68a40beb49d7ef857bf9cbb6,918
stage12_resource_estimate.md,d989c841f66404a597848467c4cbe6de8b01a2b3f55f73f3817b1eb5a894850a,265
stage12_smoke_curve_summary.csv,1563bd88eb09c1cdfd4f8353993350affb40e1c8ca18cb07a9ef6c07ea52a5ab,10597
stage12_smoke_point_results.csv,2e398506bd284f19f7ffeac82126b26d7e19f42df41d82d03d1b5aadc7e72f4e,22995
stage12_smoke_point_results_raw.csv,ce0083a25fcf066633a3306d24b961cb083970b5841166badd78c93a3dd9e611,55713
