caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-B200,10,0.000000,segmentCount,0,0,0,0
BCH-B200,10,0.000000,initialSyndromeCount,0,0,0,0
BCH-B200,10,0.000000,nonzeroSyndromeCount,0,0,0,0
BCH-B200,10,0.000000,syndromeCalculationCount,0,0,0,0
BCH-B200,10,0.000000,syndromeBitTestCount,0,0,0,0
BCH-B200,10,0.000000,syndromeXorCount,0,0,0,0
BCH-B200,10,0.000000,syndromeShiftCount,0,0,0,0
BCH-B200,10,0.000000,tableLookupCount,0,0,0,0
BCH-B200,10,0.000000,lookupHitCount,0,0,0,0
BCH-B200,10,0.000000,lookupMissCount,0,0,0,0
BCH-B200,10,0.000000,bitFlipCount,18,0.017999999999999999,0,6
BCH-B200,10,0.000000,postSyndromeCheckCount,1000,1,1,1
BCH-B200,10,0.000000,correctedSegmentCount,0,0,0,0
BCH-B200,10,0.000000,failedSegmentCount,0,0,0,0
BCH-B200,10,0.000000,miscorrectedSegmentCount,0,0,0,0
BCH-B200,10,0.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-B200,10,0.000000,syndromeValueCount,12000,12,12,12
BCH-B200,10,0.000000,syndromeEvaluationCount,3060000,3060,3060,3060
BCH-B200,10,0.000000,bmIterationCount,12000,12,12,12
BCH-B200,10,0.000000,bmDiscrepancyCount,12000,12,12,12
BCH-B200,10,0.000000,bmLocatorUpdateCount,15890,15.890000000000001,16,16
BCH-B200,10,0.000000,bmPolynomialCopyCount,5978,5.9779999999999998,6,6
BCH-B200,10,0.000000,chienPositionTestCount,254490,254.49000000000001,255,255
BCH-B200,10,0.000000,chienPolynomialEvaluationCount,254490,254.49000000000001,255,255
BCH-B200,10,0.000000,chienRootCount,949,0.94899999999999995,3,6
BCH-B200,10,0.000000,gfAddCount,4808998,4808.9979999999996,5149,5365
BCH-B200,10,0.000000,gfMultiplyCount,1832038,1832.038,1837,1837
BCH-B200,10,0.000000,gfDivideCount,5978,5.9779999999999998,6,6
BCH-B200,10,0.000000,gfInverseCount,0,0,0,0
BCH-B200,10,0.000000,locatorDegree,5997,5.9969999999999999,6,7
BCH-B200,10,0.000000,rootCount,949,0.94899999999999995,3,6
BCH-B200,10,0.000000,decoderFailureCount,997,0.997,1,1
BCH-B200,10,0.000000,miscorrectionCount,2,0.002,0,1
