caseName,motherN,motherK,toolboxT,generatorPolynomial
BCH-B200,255,207,6,1110001111110101110000101110111110011110010010111
BCH-B300,511,421,10,1011001111111001001110010101010110111010110100110001000011110000110100100111000111101001011
