scheme,configurationId,method,comparisonRole,engineeringComparisonGroup,controlledComparisonGroup,pureMethodDifferenceAllowed,EsN0Db,burstRatioRequested,meanPositionFer,worstPositionFer,bestPositionFer,positionSensitivity,baselineMeanPositionFer,absoluteFerImprovement,relativeFerReductionPercent,improvementFactor,relativeMetricStatus,sourceAbsolutePath
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-0.5,0.02,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-0.5,0.050000000000000003,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-0.5,0.10000000000000001,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-1,0.02,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-1,0.050000000000000003,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-1,0.10000000000000001,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-1.5,0.02,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-1.5,0.050000000000000003,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-1.5,0.10000000000000001,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
BCH,BCH_CODEBLOCK_D19,BCH_CODEBLOCK,FORMAL_METHOD,,BCH_EQUAL_SPAN_285,false,-2,0.02,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,DEFINED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
