scheme,configurationId,burstRatioRequested,targetFer,configurationEsN0Db,baselineEsN0Db,esN0GainDb,configurationStatus,baselineStatus,interpolationMethod
BCH,BCH_CODEBLOCK_D19,0.02,0.5,4.648138925130182,,,INTERPOLATED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_GLOBAL_PSEUDO_285,0.02,0.5,6.351318618216205,,,INTERPOLATED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_NONE,0.02,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_ROW_COLUMN_R15,0.02,0.5,4.650141742551357,,,INTERPOLATED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_CODEBLOCK_D19,0.05,0.5,5.5489798878120835,,,INTERPOLATED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_GLOBAL_PSEUDO_285,0.05,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_NONE,0.05,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_ROW_COLUMN_R15,0.05,0.5,5.550124818193969,,,INTERPOLATED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_CODEBLOCK_D19,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_GLOBAL_PSEUDO_285,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_NONE,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
BCH,BCH_ROW_COLUMN_R15,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_NONE,0.02,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_PSEUDO_128_RECOMMENDED,0.02,0.5,6.3189557006752946,,,INTERPOLATED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_SHORT_D16_CONTROL_128,0.02,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_SHORT_D8_RECOMMENDED,0.02,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_NONE,0.05,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_PSEUDO_128_RECOMMENDED,0.05,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_SHORT_D16_CONTROL_128,0.05,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_SHORT_D8_RECOMMENDED,0.05,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_NONE,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_PSEUDO_128_RECOMMENDED,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_SHORT_D16_CONTROL_128,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
CC,CC_SHORT_D8_RECOMMENDED,0.1,0.5,,,,TARGET_NOT_BRACKETED,TARGET_NOT_BRACKETED,linear_in_log10_FER_without_smoothing
