scheme,configurationId,highEsN0Db,ferThreshold,largestTestedBurstRatioMeetingThreshold,burstToleranceStatus,worstPositionFerAt2Percent,worstPositionFerAt5Percent,worstPositionFerAt10Percent
BCH,BCH_CODEBLOCK_D19,10.0,0.1,0.05,WITHIN_TESTED_GRID,0.00044,0.00102,1.0
BCH,BCH_GLOBAL_PSEUDO_285,10.0,0.1,,BELOW_MIN_TESTED_2_PERCENT,0.99998,1.0,1.0
BCH,BCH_NONE,10.0,0.1,,BELOW_MIN_TESTED_2_PERCENT,1.0,1.0,1.0
BCH,BCH_ROW_COLUMN_R15,10.0,0.1,0.05,WITHIN_TESTED_GRID,0.0005,0.00088,1.0
CC,CC_NONE,10.0,0.1,,BELOW_MIN_TESTED_2_PERCENT,1.0,1.0,1.0
CC,CC_PSEUDO_128_RECOMMENDED,10.0,0.1,,BELOW_MIN_TESTED_2_PERCENT,0.84,1.0,1.0
CC,CC_SHORT_D16_CONTROL_128,10.0,0.1,,BELOW_MIN_TESTED_2_PERCENT,1.0,1.0,1.0
CC,CC_SHORT_D8_RECOMMENDED,10.0,0.1,,BELOW_MIN_TESTED_2_PERCENT,0.85,1.0,1.0
