caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue,requestedBlockageRatio,blockageLengthSymbols,actualBlockageRatio
K200_S15,分块,200,285,0.70175438596491224,4.5,2.9618513565547095,ber,0.063736,5000,63736,0,0,0.063736,0.10000000000000001,29,0.10175438596491228
K200_S15,分块,200,285,0.70175438596491224,5.5,3.9618513565547095,ber,0.057366,5000,57366,0,0,0.057366,0.10000000000000001,29,0.10175438596491228
K200_S15,分块,200,285,0.70175438596491224,6.5,4.9618513565547095,ber,0.054881,5000,54881,0,0,0.054881,0.10000000000000001,29,0.10175438596491228
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.054239,5000,54239,0,0,0.054239,0.10000000000000001,29,0.10175438596491228
K200_S15,分块,200,285,0.70175438596491224,8.5,6.9618513565547095,ber,0.053806,5000,53806,0,0,0.053806,0.10000000000000001,29,0.10175438596491228
K200_M255K207,255整块,200,248,0.80645161290322576,4.5,3.565783148377649,ber,0.067278,5000,67278,0,0,0.067278,0.10000000000000001,25,0.10080645161290322
K200_M255K207,255整块,200,248,0.80645161290322576,5.5,4.5657831483776494,ber,0.05967,5000,59670,0,0,0.05967,0.10000000000000001,25,0.10080645161290322
K200_M255K207,255整块,200,248,0.80645161290322576,6.5,5.5657831483776494,ber,0.055605,5000,55605,0,0,0.055605,0.10000000000000001,25,0.10080645161290322
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.05444,5000,54440,0,0,0.05444,0.10000000000000001,25,0.10080645161290322
K200_M255K207,255整块,200,248,0.80645161290322576,8.5,7.5657831483776494,ber,0.052799,5000,52799,0,0,0.052799,0.10000000000000001,25,0.10080645161290322
K200_M511K421,421整块,200,290,0.68965517241379315,4.5,2.8863199776502517,ber,0.073369,5000,73369,0,0,0.073369,0.10000000000000001,29,0.10000000000000001
K200_M511K421,421整块,200,290,0.68965517241379315,5.5,3.8863199776502517,ber,0.06319,5000,63190,0,0,0.06319,0.10000000000000001,29,0.10000000000000001
K200_M511K421,421整块,200,290,0.68965517241379315,6.5,4.8863199776502517,ber,0.05643,5000,56430,0,0,0.05643,0.10000000000000001,29,0.10000000000000001
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.051637,5000,51637,0,0,0.051637,0.10000000000000001,29,0.10000000000000001
K200_M511K421,421整块,200,290,0.68965517241379315,8.5,6.8863199776502517,ber,0.050883,5000,50883,0,0,0.050883,0.10000000000000001,29,0.10000000000000001
K200_M511K385,385整块,200,326,0.61349693251533743,4.5,2.3781239559604219,ber,0.079035,5000,79035,0,0,0.079035,0.10000000000000001,33,0.10122699386503067
K200_M511K385,385整块,200,326,0.61349693251533743,5.5,3.3781239559604219,ber,0.066276,5000,66276,0,0,0.066276,0.10000000000000001,33,0.10122699386503067
K200_M511K385,385整块,200,326,0.61349693251533743,6.5,4.3781239559604224,ber,0.058,5000,58000,0,0,0.058,0.10000000000000001,33,0.10122699386503067
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.049833,5000,49833,0,0,0.049833,0.10000000000000001,33,0.10122699386503067
K200_M511K385,385整块,200,326,0.61349693251533743,8.5,6.3781239559604224,ber,0.044857,5000,44857,0,0,0.044857,0.10000000000000001,33,0.10122699386503067
