experimentType,caseId,ebn0Index,ebn0Db,blockageParameterIndex,requestedBlockageRatio,targetSnrDb
SNR,K200_M255K207,15,8.43421685162235,15,0.1,7.5
SNR,K200_M255K207,16,8.93421685162235,16,0.1,8.0
SNR,K200_M511K421,0,1.6136800223497485,0,0.1,0.0
SNR,K200_M511K421,1,2.1136800223497483,1,0.1,0.5
SNR,K200_M511K421,2,2.6136800223497483,2,0.1,1.0
SNR,K200_M511K421,3,3.1136800223497483,3,0.1,1.5
SNR,K200_M511K421,4,3.6136800223497483,4,0.1,2.0
SNR,K200_M511K421,5,4.113680022349748,5,0.1,2.5
SNR,K200_M511K421,6,4.613680022349748,6,0.1,3.0
SNR,K200_M511K421,7,5.113680022349748,7,0.1,3.5
SNR,K200_M511K421,8,5.613680022349748,8,0.1,4.0
SNR,K200_M511K421,9,6.113680022349748,9,0.1,4.5
SNR,K200_M511K421,10,6.613680022349748,10,0.1,5.0
SNR,K200_M511K421,11,7.113680022349748,11,0.1,5.5
SNR,K200_M511K421,12,7.613680022349748,12,0.1,6.0
SNR,K200_M511K421,13,8.11368002234975,13,0.1,6.5
SNR,K200_M511K421,14,8.61368002234975,14,0.1,7.0
SNR,K200_M511K421,15,9.11368002234975,15,0.1,7.5
SNR,K200_M511K421,16,9.61368002234975,16,0.1,8.0
SNR,K200_M511K385,0,2.121876044039578,0,0.1,0.0
SNR,K200_M511K385,1,2.621876044039578,1,0.1,0.5
SNR,K200_M511K385,2,3.121876044039578,2,0.1,1.0
SNR,K200_M511K385,3,3.621876044039578,3,0.1,1.5
SNR,K200_M511K385,4,4.121876044039578,4,0.1,2.0
SNR,K200_M511K385,5,4.621876044039578,5,0.1,2.5
SNR,K200_M511K385,6,5.121876044039578,6,0.1,3.0
SNR,K200_M511K385,7,5.621876044039578,7,0.1,3.5
SNR,K200_M511K385,8,6.121876044039578,8,0.1,4.0
SNR,K200_M511K385,9,6.621876044039578,9,0.1,4.5
SNR,K200_M511K385,10,7.121876044039578,10,0.1,5.0
SNR,K200_M511K385,11,7.621876044039578,11,0.1,5.5
SNR,K200_M511K385,12,8.121876044039578,12,0.1,6.0
SNR,K200_M511K385,13,8.621876044039578,13,0.1,6.5
SNR,K200_M511K385,14,9.121876044039578,14,0.1,7.0
SNR,K200_M511K385,15,9.621876044039578,15,0.1,7.5
SNR,K200_M511K385,16,10.121876044039578,16,0.1,8.0
SNR,K300_S15,0,1.46128035678238,0,0.1,0.0
SNR,K300_S15,1,1.96128035678238,1,0.1,0.5
SNR,K300_S15,2,2.46128035678238,2,0.1,1.0
SNR,K300_S15,3,2.96128035678238,3,0.1,1.5
SNR,K300_S15,4,3.46128035678238,4,0.1,2.0
SNR,K300_S15,5,3.96128035678238,5,0.1,2.5
SNR,K300_S15,6,4.46128035678238,6,0.1,3.0
SNR,K300_S15,7,4.96128035678238,7,0.1,3.5
SNR,K300_S15,8,5.46128035678238,8,0.1,4.0
SNR,K300_S15,9,5.96128035678238,9,0.1,4.5
SNR,K300_S15,10,6.46128035678238,10,0.1,5.0
SNR,K300_S15,11,6.96128035678238,11,0.1,5.5
SNR,K300_S15,12,7.46128035678238,12,0.1,6.0
SNR,K300_S15,13,7.96128035678238,13,0.1,6.5
SNR,K300_S15,14,8.46128035678238,14,0.1,7.0
SNR,K300_S15,15,8.96128035678238,15,0.1,7.5
SNR,K300_S15,16,9.46128035678238,16,0.1,8.0
SNR,K300_M255K207,0,1.2057393120584987,0,0.1,0.0
SNR,K300_M255K207,1,1.7057393120584987,1,0.1,0.5
SNR,K300_M255K207,2,2.2057393120584985,2,0.1,1.0
SNR,K300_M255K207,3,2.7057393120584985,3,0.1,1.5
SNR,K300_M255K207,4,3.2057393120584985,4,0.1,2.0
SNR,K300_M255K207,5,3.7057393120584985,5,0.1,2.5
SNR,K300_M255K207,6,4.2057393120584985,6,0.1,3.0
SNR,K300_M255K207,7,4.7057393120584985,7,0.1,3.5
SNR,K300_M255K207,8,5.2057393120584985,8,0.1,4.0
SNR,K300_M255K207,9,5.7057393120584985,9,0.1,4.5
SNR,K300_M255K207,10,6.2057393120584985,10,0.1,5.0
SNR,K300_M255K207,11,6.7057393120584985,11,0.1,5.5
SNR,K300_M255K207,12,7.2057393120584985,12,0.1,6.0
SNR,K300_M255K207,13,7.7057393120584985,13,0.1,6.5
SNR,K300_M255K207,14,8.2057393120585,14,0.1,7.0
SNR,K300_M255K207,15,8.7057393120585,15,0.1,7.5
SNR,K300_M255K207,16,9.2057393120585,16,0.1,8.0
SNR,K300_M511K421,0,1.1394335230683674,0,0.1,0.0
SNR,K300_M511K421,1,1.6394335230683674,1,0.1,0.5
SNR,K300_M511K421,2,2.1394335230683676,2,0.1,1.0
SNR,K300_M511K421,3,2.6394335230683676,3,0.1,1.5
SNR,K300_M511K421,4,3.1394335230683676,4,0.1,2.0
SNR,K300_M511K421,5,3.6394335230683676,5,0.1,2.5
SNR,K300_M511K421,6,4.139433523068368,6,0.1,3.0
SNR,K300_M511K421,7,4.639433523068368,7,0.1,3.5
SNR,K300_M511K421,8,5.139433523068368,8,0.1,4.0
SNR,K300_M511K421,9,5.639433523068368,9,0.1,4.5
SNR,K300_M511K421,10,6.139433523068368,10,0.1,5.0
SNR,K300_M511K421,11,6.639433523068368,11,0.1,5.5
SNR,K300_M511K421,12,7.139433523068368,12,0.1,6.0
SNR,K300_M511K421,13,7.639433523068368,13,0.1,6.5
SNR,K300_M511K421,14,8.139433523068368,14,0.1,7.0
SNR,K300_M511K421,15,8.639433523068368,15,0.1,7.5
SNR,K300_M511K421,16,9.139433523068368,16,0.1,8.0
SNR,K300_M511K385,0,1.5228834438305652,0,0.1,0.0
SNR,K300_M511K385,1,2.0228834438305654,1,0.1,0.5
SNR,K300_M511K385,2,2.5228834438305654,2,0.1,1.0
SNR,K300_M511K385,3,3.0228834438305654,3,0.1,1.5
SNR,K300_M511K385,4,3.5228834438305654,4,0.1,2.0
SNR,K300_M511K385,5,4.022883443830565,5,0.1,2.5
SNR,K300_M511K385,6,4.522883443830565,6,0.1,3.0
SNR,K300_M511K385,7,5.022883443830565,7,0.1,3.5
SNR,K300_M511K385,8,5.522883443830565,8,0.1,4.0
SNR,K300_M511K385,9,6.022883443830565,9,0.1,4.5
SNR,K300_M511K385,10,6.522883443830565,10,0.1,5.0
SNR,K300_M511K385,11,7.022883443830565,11,0.1,5.5
SNR,K300_M511K385,12,7.522883443830565,12,0.1,6.0
SNR,K300_M511K385,13,8.022883443830565,13,0.1,6.5
SNR,K300_M511K385,14,8.522883443830565,14,0.1,7.0
SNR,K300_M511K385,15,9.022883443830565,15,0.1,7.5
SNR,K300_M511K385,16,9.522883443830565,16,0.1,8.0
