error_position,syndrome,lookup_position
0,9,0
1,13,1
2,15,2
3,14,3
4,7,4
5,10,5
6,5,6
7,11,7
8,12,8
9,6,9
10,3,10
11,8,11
12,4,12
13,2,13
14,1,14
