scheme,rank,method,parameter,fairnessGroupId,spanBits,bufferBits,meanFer,overallMeanFer,worstPositionFer,worstPosition,bufferFraction,deinterleaveTimeMeanNs,decodeTimeMeanNs,score,paretoOptimal
BCH,1,BCH_CODEBLOCK,19,FULL_FRAME_285,285,285,0.44027777777777777,0.6268518518518521,0.46666666666666673,TAIL,1.0,247.77777777777777,6979.166666666667,0.18336071015474753,True
BCH,2,ROW_COLUMN,15,FULL_FRAME_285,285,285,0.4013888888888888,0.6009259259259259,0.47500000000000003,MIDDLE,1.0,295.7407407407407,7469.814814814814,0.23846331120943948,True
BCH,3,ROW_COLUMN,19,FULL_FRAME_285,285,285,0.44027777777777777,0.6268518518518521,0.46666666666666673,TAIL,1.0,330.3703703703703,15786.944444444447,0.3149241319836561,False
BCH,4,BCH_CODEBLOCK,16,LOCAL_SPAN_240,240,240,0.5499999999999999,0.7000000000000001,1.0,TAIL,0.8421052631578947,245.83333333333334,6782.500000000001,0.5298970199249227,True
BCH,5,BCH_CODEBLOCK,8,LOCAL_SPAN_120,120,120,0.7472222222222222,0.8314814814814816,1.0,TAIL,0.42105263157894735,243.14814814814815,6277.87037037037,0.5942483819758212,True
BCH,6,ROW_COLUMN,8,FULL_FRAME_285,285,285,0.6875,0.7916666666666669,0.7083333333333334,TAIL,1.0,337.3148148148148,7054.6296296296305,0.6271207946635732,False
BCH,7,NONE,0,IDENTITY,1,0,0.9305555555555555,0.9537037037037036,1.0,HEAD,0.0,284.537037037037,6135.370370370371,0.7195254912428392,True
BCH,8,BCH_CODEBLOCK,4,LOCAL_SPAN_60,60,60,1.0,1.0,1.0,HEAD,0.21052631578947367,262.7777777777778,6312.777777777777,0.7628473839465921,True
BCH,9,GLOBAL_PSEUDORANDOM,285,FULL_FRAME_285,285,285,0.797222222222222,0.8648148148148147,1.0,THREE_QUARTER,1.0,301.2037037037037,8068.148148148146,0.8069790361990021,False
BCH,10,ROW_COLUMN,4,FULL_FRAME_285,285,285,1.0,1.0,1.0,HEAD,1.0,284.07407407407413,6976.01851851852,0.9151917404129795,False
CC,1,SHORT_DEPTH_BLOCK,8,TRELLIS_SPAN_64,128,128,0.6777777777777779,0.8925925925925928,0.9,THREE_QUARTER,0.20915032679738563,442.3148148148149,338624.2592592594,0.20398874223602514,True
CC,2,PSEUDORANDOM,128,TRELLIS_SPAN_128,256,256,0.5527777777777777,0.8509259259259259,0.9333333333333333,TAIL,0.41830065359477125,446.75925925925924,357815.4629629629,0.2765624999999999,True
CC,3,PSEUDORANDOM,64,TRELLIS_SPAN_64,128,128,0.8777777777777777,0.9592592592592593,1.0,THREE_QUARTER,0.20915032679738563,438.7037037037037,374845.7407407407,0.6752535423136644,True
CC,4,SHORT_DEPTH_BLOCK,16,TRELLIS_SPAN_128,256,256,0.8222222222222224,0.940740740740741,1.0,TAIL,0.41830065359477125,434.1666666666667,349418.6111111111,0.6909937888198759,True
CC,5,SHORT_DEPTH_BLOCK,4,TRELLIS_SPAN_32,64,64,0.9972222222222222,0.9990740740740741,1.0,HEAD,0.10457516339869281,449.25925925925935,356211.1111111112,0.7668514654503107,True
CC,6,NONE,0,IDENTITY,2,0,1.0,1.0,1.0,HEAD,0.0,497.3148148148148,375620.00000000006,0.8332031249999997,True
CC,7,PSEUDORANDOM,32,TRELLIS_SPAN_32,64,64,0.9944444444444445,0.9981481481481482,1.0,HEAD,0.10457516339869281,505.2777777777779,339923.1481481481,0.8825310559006212,True
