scheme,method,parameter,fairnessGroupId,spanBits,spanTrellisSteps,bufferBits,mappingHash,EsN0Db,sigmaSquared,burstRatioRequested,burstLengthBits,burstRatioActual,burstPositionType,framesProcessed,totalBits,bitErrors,frameErrors,BER,FER,interleaveTimeMeanNs,deinterleaveTimeMeanNs,decodeTimeMeanNs,payloadChecksum,noiseChecksum,burstStartChecksum,frameSequenceHash
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.050000000000000003,14,0.04912280701754386,TAIL,30,6000,75,30,0.012500000000000001,1,416.66666666666669,403.33333333333331,7116.666666666667,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,a6d790dc9df4f55e65dc90ecc4c4c3c5cfe0117e599aab1f4221ff6f432d199b,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.050000000000000003,14,0.04912280701754386,RANDOM,30,6000,293,30,0.048833333333333333,1,300,283.33333333333331,5720,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,b0fdddb2fb5e473cb3b7ccf83fa08739faedfdc4e98b01a31ac4a283e6cf2abb,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.10000000000000001,29,0.10175438596491228,HEAD,30,6000,669,30,0.1115,1,263.33333333333331,290,5576.666666666667,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,619e620ed7412fb0beb90a823f85824d2738f166dcba95471f92207f383f82ee,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.10000000000000001,29,0.10175438596491228,QUARTER,30,6000,646,30,0.10766666666666666,1,290,266.66666666666669,5716.666666666667,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,deb8d3f809f9803cd0536909c44c1c11d7bed0a4f2c76cd7bb7d6051edd733e4,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.10000000000000001,29,0.10175438596491228,MIDDLE,30,6000,604,30,0.10066666666666667,1,280,240,6006.666666666667,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,c6f03ce8c2310f44c88c68727f4304fa22cf7af919f86a339950f0cdd60bfc0d,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.10000000000000001,29,0.10175438596491228,THREE_QUARTER,30,6000,675,30,0.1125,1,253.33333333333334,223.33333333333334,5613.333333333333,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,4038354a82f1709b20c4bbc7706dcdca958af3b2855f160d8714d68287d9a5c2,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.10000000000000001,29,0.10175438596491228,TAIL,30,6000,391,30,0.065166666666666664,1,260,223.33333333333334,5693.333333333333,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,4093cb178ee31ea62a0a3a43d25dcab90200de4d6030e4fef8add379549eec73,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,4,0.19905358527674863,0.10000000000000001,29,0.10175438596491228,RANDOM,30,6000,652,30,0.10866666666666666,1,323.33333333333331,263.33333333333331,7960,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,165fea269704b2c8f74836dab403d03a771ea91fd5503ae58a0f6b0b6992b639,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,8,0.079244659623055658,0.02,6,0.021052631578947368,HEAD,30,6000,180,30,0.029999999999999999,1,343.33333333333331,300,6716.666666666667,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,16483704655678a0220d5f21fb9a1a25347cb314e60836ac87cfadab06b5e05a,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
BCH,NONE,0,IDENTITY,1,0,0,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84,8,0.079244659623055658,0.02,6,0.021052631578947368,QUARTER,30,6000,60,30,0.01,1,400,343.33333333333331,7460,b0d536a83e150c019e5952bcd98124223bc6d6d39ec18ba4139ce7042293b5dd,586d66d7b2894eeb0b037984a647d6cab5fe89f7c2c809ea3be2050b0f9c6a41,ccf20561cbf600794f28d229ec0b1f13503da7650cac44679322632407b9c0ca,40c33c5e04e976a0e1de01065d0ba3111cc9c97a3d1904da2aa3d3929acb5fcd
