actualLength,esN0Db,frames,bpFrameErrors,nmsFrameErrors,stopReason,status
480,-5.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-4.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-4.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-3.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-3.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-2.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-2.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-1.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-1.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,-0.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,0.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,0.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,1.0,1000,999,1000,TARGET_FRAME_ERRORS_REACHED,PASS
480,1.5,1000,992,985,TARGET_FRAME_ERRORS_REACHED,PASS
480,2.0,1000,948,939,TARGET_FRAME_ERRORS_REACHED,PASS
480,2.5,1000,846,846,TARGET_FRAME_ERRORS_REACHED,PASS
480,3.0,1000,643,636,TARGET_FRAME_ERRORS_REACHED,PASS
480,3.5,1000,405,408,TARGET_FRAME_ERRORS_REACHED,PASS
480,4.0,1000,238,244,TARGET_FRAME_ERRORS_REACHED,PASS
480,4.5,1465,200,202,TARGET_FRAME_ERRORS_REACHED,PASS
480,5.0,3369,200,208,TARGET_FRAME_ERRORS_REACHED,PASS
480,5.5,8019,201,200,TARGET_FRAME_ERRORS_REACHED,PASS
480,6.0,21841,200,208,TARGET_FRAME_ERRORS_REACHED,PASS
480,6.5,50000,165,172,MAX_FRAMES_REACHED,PASS
480,7.0,50000,55,55,MAX_FRAMES_REACHED,PASS
480,7.5,50000,18,18,MAX_FRAMES_REACHED,PASS
480,8.0,50000,3,5,MAX_FRAMES_REACHED,PASS
480,8.5,50000,1,2,MAX_FRAMES_REACHED,PASS
480,9.0,50000,0,0,MAX_FRAMES_REACHED,PASS
480,9.5,50000,0,0,MAX_FRAMES_REACHED,PASS
480,10.0,50000,0,0,MAX_FRAMES_REACHED,PASS
560,-5.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-4.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-4.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
