actualLength,esN0Db,algorithm,sigmaSquared,expectedSigmaSquared,sigmaMatch,ebN0Db,expectedEbN0Db,ebN0Match,status
480,-5.0,DIRECT_LAYERED_NMS,1.5811388300841895,1.5811388300841895,True,-2.958800173440752,-2.958800173440752,True,PASS
480,-5.0,DIRECT_LAYERED_SPA_BP,1.5811388300841895,1.5811388300841895,True,-2.958800173440752,-2.958800173440752,True,PASS
480,-4.5,DIRECT_LAYERED_NMS,1.4091914656322269,1.4091914656322269,True,-2.458800173440752,-2.458800173440752,True,PASS
480,-4.5,DIRECT_LAYERED_SPA_BP,1.4091914656322269,1.4091914656322269,True,-2.458800173440752,-2.458800173440752,True,PASS
480,-4.0,DIRECT_LAYERED_NMS,1.2559432157547903,1.2559432157547903,True,-1.958800173440752,-1.958800173440752,True,PASS
480,-4.0,DIRECT_LAYERED_SPA_BP,1.2559432157547903,1.2559432157547903,True,-1.958800173440752,-1.958800173440752,True,PASS
480,-3.5,DIRECT_LAYERED_NMS,1.1193605692841697,1.1193605692841697,True,-1.458800173440752,-1.458800173440752,True,PASS
480,-3.5,DIRECT_LAYERED_SPA_BP,1.1193605692841697,1.1193605692841697,True,-1.458800173440752,-1.458800173440752,True,PASS
480,-3.0,DIRECT_LAYERED_NMS,0.9976311574844399,0.9976311574844399,True,-0.9588001734407521,-0.9588001734407521,True,PASS
480,-3.0,DIRECT_LAYERED_SPA_BP,0.9976311574844399,0.9976311574844399,True,-0.9588001734407521,-0.9588001734407521,True,PASS
480,-2.5,DIRECT_LAYERED_NMS,0.8891397050194614,0.8891397050194614,True,-0.4588001734407521,-0.4588001734407521,True,PASS
480,-2.5,DIRECT_LAYERED_SPA_BP,0.8891397050194614,0.8891397050194614,True,-0.4588001734407521,-0.4588001734407521,True,PASS
480,-2.0,DIRECT_LAYERED_NMS,0.7924465962305567,0.7924465962305567,True,0.04119982655924792,0.04119982655924792,True,PASS
480,-2.0,DIRECT_LAYERED_SPA_BP,0.7924465962305567,0.7924465962305567,True,0.04119982655924792,0.04119982655924792,True,PASS
480,-1.5,DIRECT_LAYERED_NMS,0.7062687723113772,0.7062687723113772,True,0.5411998265592479,0.5411998265592479,True,PASS
480,-1.5,DIRECT_LAYERED_SPA_BP,0.7062687723113772,0.7062687723113772,True,0.5411998265592479,0.5411998265592479,True,PASS
480,-1.0,DIRECT_LAYERED_NMS,0.6294627058970836,0.6294627058970836,True,1.041199826559248,1.041199826559248,True,PASS
