"caseName","snrIndex","esN0Db","staticMemoryBytes","decoderObjectBytes","lookupTableBytes","gfTableBytes","syndromeBufferBytes","locatorPolynomialBytes","temporaryPolynomialBytes","receivedBufferBytes","correctedBufferBytes","payloadBufferBytes","perFrameWorkspaceBytes","peakWorkspaceBytes","totalDecoderMemoryBytes","memoryMeasurementMethod"
"BCH-S200","14","2.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","15","2.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","16","3.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","17","3.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","18","4.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","19","4.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","20","5.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","21","5.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","22","6.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","23","6.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","24","7.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","25","7.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
