path,bytes,rowCount,sha256
acceptance_matrix.csv,702,4,39ea6a14d7c8cd9475158fd687a21134ca3f09c2de032dcb2622f2584a51c796
changed_files.md,506,0,e6de1bc690514369156e2a4517ec115bcedb04fb08709459279bb1e6454f353d
checkpoint_audit.csv,305,4,331838375edb6bf377b56d8b7b0268f6edabd6b9c7881bbc2b7fd9e7c1cdf001
checkpoint_file_hashes.csv,1627,16,cf22e4edc4df6443611314fe2903e702113cd6e0662df4767826a705b0bae33f
commands_used.md,830,0,1b19053e2b8aa1814e48d86018e32158bc2bab067ffa0b16b91dbe6dc433cf9f
figure_data_audit.csv,26,0,48114cf4f8fc953e38a6d46582d2acb5240f3d2b17396eb8a05ed15467457ee8
formal_trial_summary.csv,9082,12,629c9c77f712e9c42b2a6fa7d700b96027f4362f22b27c2ec8ef6feaefab19af
frozen_config.csv,211,1,9a2629fa17d399ae3776b2858dbd920fd0c4387108be63e5015399c05ab1d7e6
known_issues.md,322,0,acde2499ea2b36bc3e651b9fb39ae29c143da26a1662ead227dc6bf78c42a30e
negative_test_results.csv,1561,12,632b7d9f59d2cd18ff708f56bc881cd8531170d60ee437b189d77538efb9662d
plot_manifest.json,3,0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570
progress.jsonl,29177,0,d006770e81b1afb751a9df09467fa44aab47fbc49a2630d3b33491a80af05c1e
progress_summary.csv,1291,28,4934e2843f1fec9afd6ca5186b7582371e28971ec2bb9d2ae4b6b0fe184e68e2
resume_audit.csv,249,4,3ebb8b5564d37755ccfebf4d92767c15a50a6842e2c9962559bdfdb8a6055f4e
shard_merge_audit.csv,263,4,b673fde7a807dead560b653cf266f0351f28277b7ef588c002dfb66182f43aa7
stage_plan.md,755,0,974d2c2c3c5b3efdd164ad84c60a7c48e80484c04f383475d807b771227e8f28
test_summary.csv,496,8,f8764a62ef29a058ccc1cd5966e24daad901e3f91e9d4d546279bb3828bfd709
validation_report.md,1529,0,ddc31be93aebc0ddd0a052a2cbe6ffbfe96a1a57691909f696446cd94dd5b2a9
