phase,caseId,interleaverMode,interleaverDepth,burstLengthBits,resultSha256,checkpointPath
method,K200_S15,BLOCK,8,1,b5e0c30f874a8730bbf9b72d9c87bee50959a3ffaebc2e86c4a095bebb5d5bdd,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L1.json
method,K200_S15,BLOCK,8,2,28e9d42d72f6b3cb4e4f5b4e2159cd7fcb35230a05b85b256c3b352764354ed3,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L2.json
method,K200_S15,BLOCK,8,3,13f620b3642cd982a88f003fde203425f2381cf6214e258c441e3bda0e02e182,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L3.json
method,K200_S15,BLOCK,8,5,f3278e6866fb9846a46e705551602896d85a6da8e63071d71b57850ae32e7cf6,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L5.json
method,K200_S15,BLOCK,8,8,e650e0d446090982089efaf0cca446ed643c61c258c390da98c5aadc2406afee,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L8.json
method,K200_S15,BLOCK,8,10,5e4efc3ea94cbe7307582ec48cb4130caf622c5b380d08f5caf15e1a316ff412,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L10.json
method,K200_S15,BLOCK,8,15,a905492515b436640b8ead641704bdc56e02555ebd9bfe7517edbf94d9ea4775,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L15.json
method,K200_S15,BLOCK,8,20,03f6e84eaa42ab789b529763950372f17a23bee72728808b023f491e94efa4a7,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L20.json
method,K200_S15,BLOCK,8,30,20b2964fc6a853b4d2614e017e397b5c0540ca48489c587eabeaeb7db96cf6eb,results/checkpoints/stage15_interleaving_formal_K200_S15_BLOCK_D8_L30.json
method,K200_S15,ROW_COLUMN,8,1,a8f97bd2ce0388a0426acff7a44fa1f416a90746d6c4dd9473b90debcb911de3,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L1.json
method,K200_S15,ROW_COLUMN,8,2,7284bc72e5f66155b82f6b4ac132caf2580e60dfd2cdb494cea5741ea9dc388c,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L2.json
method,K200_S15,ROW_COLUMN,8,3,6687033669a4e1b1ec2c66981b34d7d90a677353ea7c0fc5c51684437da2b8f4,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L3.json
method,K200_S15,ROW_COLUMN,8,5,e458e7364da84f19c4a8010c6e7b07a9b652ab67ba34c351c0ca4eeaf3341768,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L5.json
method,K200_S15,ROW_COLUMN,8,8,739b316a24bc7efb8c3809aed0119ff6fce12646adff93163d75f79d0ccebae3,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L8.json
method,K200_S15,ROW_COLUMN,8,10,24c8c285e77c53945553c9671c2afd80e0e263db12f91ffcc9e98d5d3c59e2ed,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L10.json
method,K200_S15,ROW_COLUMN,8,15,234d064903e4c3e3c3809062243b6f2942b8d1acc870b60a48f855303bcf8f12,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L15.json
method,K200_S15,ROW_COLUMN,8,20,b7960dd6294b1b9b0f8a73df01ad6fea44ccb80c84fbee628396cf24e587d57e,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D8_L20.json
