caseId,bestInterleaverMode,methodDepth,ferGeometricMean,miscorrectionMean,toleranceL1e1,meanInterleaverOverheadNs,tieDetected,tieBreakPriority,selectionRule
K200_S15,ROW_COLUMN,8,0.0043349837438822264,0.4499258957408917,8,1234.8888888888889,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K200_M255K207,ROW_COLUMN,8,0.0059948425031894105,0,5,1891.3333333333333,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K200_M511K421,ROW_COLUMN,8,0.00046415888336127795,0,10,2137.5555555555557,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K200_M511K385,ROW_COLUMN,8,0.00046415888336127795,0,10,2214.6666666666665,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K300_S15,ROW_COLUMN,8,0.0042541900936783781,0.44866763796232395,8,3027.7777777777778,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K300_M255K207,ROW_COLUMN,8,0.0010396612041252502,0,10,2924.7777777777778,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K300_M511K421,ROW_COLUMN,8,0.00046415888336127795,0,10,2542.2222222222222,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
K300_M511K385,PSEUDORANDOM,8,0.00046415888336127795,0,10,2427.6666666666665,false,BLOCK|ROW_COLUMN|PSEUDORANDOM,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,PRIORITY"
