stageId,runId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,motherN,motherK,motherT,blockCount,interleaverMode,interleaverDepth,interleaverRows,interleaverColumns,interleaverBlockCount,interleaverSeed,permutationFile,permutationSha256,burstLengthIndex,burstLengthBits,burstRatio,masterSeed,framesProcessed,payloadBitsProcessed,payloadErrorBits,payloadErrorFrames,decoderDeclaredSuccessFrames,decoderDeclaredFailureFrames,trueSuccessFrames,miscorrectionFrames,undetectedErrorFrames,affectedCodeBlocksTotal,meanAffectedCodeBlocks,maxAffectedCodeBlocks,maxErrorsInOneCodeBlockObserved,meanMaxErrorsInOneCodeBlock,interleaverApplyTimeTotalNs,deinterleaverApplyTimeTotalNs,decoderTimeTotalNs,interleaverTimeMeanNs,deinterleaverTimeMeanNs,decoderTimeMeanNs,decoderTimeP50Ns,decoderTimeP95Ns,decoderTimeP99Ns,decoderTimeMaxNs,interleaverBufferBits,interleaverBufferBytes,interleaverStartupDelayBits,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointPath,resultSha256,deltaFer,relativeFerReduction,ferImprovementRatio,ratioStatus,L_tol_1e_1,L_tol_1e_2,toleranceStatus,sourceStage,sourceGitCommit,reuseStatus
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,3,3,0.010526315789473684,1397048147,1000,200000,2653,958,1000,0,42,958,0,1124,1.1240000000000001,2,3,2.8759999999999999,0,0,7199400,0,0,7199,7000,9500,12000,26800,0,0,0,0.013265000000000001,0.95799999999999996,0,0.95799999999999996,0,0.042000000000000003,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L3.json,b1af171f479f60b0bceae22a171e11908507e321dffa6695580d1f0c6f59f1c4,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,5,5,0.017543859649122806,1397048147,1000,200000,4347,974,1000,0,26,974,0,1241,1.2410000000000001,2,5,4.6440000000000001,0,0,15188400,0,0,15188,8800,24600,212100,1417000,0,0,0,0.021735000000000001,0.97399999999999998,0,0.97399999999999998,0,0.025999999999999999,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L5.json,fe20291a8aaf9cfddc9647653f62487817a02737a4fb985e22ed16edeba37910,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,7,8,0.028070175438596492,1397048147,1000,200000,6082,985,1000,0,15,985,0,1472,1.472,2,8,6.9160000000000004,0,0,6261500,0,0,6261,5300,9300,11000,53900,0,0,0,0.03041,0.98499999999999999,0,0.98499999999999999,0,0.014999999999999999,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L8.json,bec849442c3124bb26395034a3b50f02e9aad79fa06cdf44d58a0a3cc1dd2a97,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,8,10,0.035087719298245612,1397048147,1000,200000,7201,986,1000,0,14,986,0,1581,1.581,2,10,8.4390000000000001,0,0,17007300,0,0,17007,8700,27300,239100,1474500,0,0,0,0.036005000000000002,0.98599999999999999,0,0.98599999999999999,0,0.014,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L10.json,d9cbbd13c01a07a43a111297920637d4132ad411297d1c2da15bc50373259413,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,10,15,0.052631578947368418,1397048147,1000,200000,10735,1000,1000,0,0,1000,73,1927,1.927,2,15,11.401,0,0,7682300,0,0,7682,8500,9400,13400,57800,0,0,0,0.053675,1,0,1,0.072999999999999995,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L15.json,f73b90261a219f07e0ab28fd15b211a763d5494daacbd15ea565c8014014631a,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,11,20,0.070175438596491224,1397048147,1000,200000,14284,1000,1000,0,0,1000,0,2263,2.2629999999999999,3,15,13.298,0,0,8577300,0,0,8577,8700,9600,17800,32500,0,0,0,0.071419999999999997,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L20.json,fda75fd224eb68eaa0710f9cb9a460eb177d302cc9e23125dc568a9c9c218f54,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_reused_stage14_none,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE,1,0,0,0,0,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,13,30,0.10526315789473684,1397048147,1000,200000,21766,1000,1000,0,0,1000,81,2919,2.919,3,15,15,0,0,9487600,0,0,9487,8700,9800,28100,198800,0,0,0,0.10883,1,0,1,0.081000000000000003,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L30.json,37ccae4a1a67f4d75b750e3de2e9e13acd02d3b28332d195364e3df90da80ae9,0,0,1,EXACT,,,NOT_REACHED,stage14_burst_formal,793f7247491a6f3e44b22072722e1ca693f26cae,REUSED_STAGE14_CANONICAL
stage15_interleaving_formal,stage15_formal_v1,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,ROW_COLUMN,4,4,72,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,2bf4fdd7dd4b4596de41b62f4037d780accd2b33eb4b171f897a7b69c62a2726,0,3,0.010526315789473684,1397048147,50000,10000000,0,0,50000,0,50000,0,0,150000,3,3,1,1,33471200,36077600,378814600,669,721,7576,6100,10300,15000,383600,285,36,285,0,0,0,0,0,1,MAX_FRAMES_REACHED,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D4_L3.json,9ed35c5f538f45a22e19e645985a82f910683c71972cc3ee6cce277154c40811,0.95799999999999996,1,,LOWER_BOUND_ONLY,3,3,OBSERVED,stage15_interleaving_formal,c56ea139a842ce7156261a02174dba399024849b,SIMULATED_STAGE15
stage15_interleaving_formal,stage15_formal_v1,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,ROW_COLUMN,4,4,72,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,2bf4fdd7dd4b4596de41b62f4037d780accd2b33eb4b171f897a7b69c62a2726,1,5,0.017543859649122806,1397048147,1000,200000,2130,903,1000,0,97,903,0,4054,4.0540000000000003,5,2,1.9299999999999999,548300,628100,6375500,548,628,6375,5700,9000,13600,68000,285,36,285,0.01065,0.90300000000000002,0,0.90300000000000002,0,0.097000000000000003,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D4_L5.json,65df5de035a8ae9c87e2713beb65be16a8396959b4bd49d806b2c49ded79a142,0.070999999999999952,0.072895277207392153,1.078626799557032,EXACT,3,3,OBSERVED,stage15_interleaving_formal,c56ea139a842ce7156261a02174dba399024849b,SIMULATED_STAGE15
stage15_interleaving_formal,stage15_formal_v1,c56ea139a842ce7156261a02174dba399024849b,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,ROW_COLUMN,4,4,72,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,2bf4fdd7dd4b4596de41b62f4037d780accd2b33eb4b171f897a7b69c62a2726,2,8,0.028070175438596492,1397048147,1000,200000,8064,1000,1000,0,0,1000,0,4244,4.2439999999999998,5,3,2.0230000000000001,656400,619000,6442600,656,619,6442,5700,9100,15200,26400,285,36,285,0.040320000000000002,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage15_interleaving_formal_K200_S15_ROW_COLUMN_D4_L8.json,b1ad4687ad02d34aea4309c387b65d0963abf4e8783f30c984a08e950620c7a6,-0.015000000000000013,-0.015228426395939101,0.98499999999999999,EXACT,3,3,OBSERVED,stage15_interleaving_formal,c56ea139a842ce7156261a02174dba399024849b,SIMULATED_STAGE15
