caseId,snrDb,frames,BER,FER,fullMismatchBits,fullMismatchFrames,headMismatchBits,boundaryMismatchBits,middleMismatchBits,tailMismatchBits,firstOutputInputTime,avgDecisionDelayBits,maxDecisionDelayBits,survivorMemoryBytes,windowBufferBytes,ACSOperations,tracebackOperations,avgDecodeTime_us
CC-C-R12-S,0,500,0.00041333333333333332,0.024,0,0,0,0,0,0,74,71.379999999999995,93,13440,1536,19584000,8295000,364.58839999999969
CC-C-R23-S,1,500,0.0033466666666666666,0.080000000000000002,77,8,26,16,32,3,74,71.379999999999995,93,13440,1536,19584000,8295000,317.02539999999954
