rateCase,candidateId,windowBits,slideBits,dtb,noiselessMismatch,lostBits,duplicateBits,outputLength,finalFlushPass,worstRelativeFerIncrease,meanFirstOutputDelaySymbols,meanP95DecisionDelaySymbols,totalMemoryBytes,meanACSPerFrame,meanTracebackOperationsPerFrame,meanCpuTimeUs,correctnessGate,reliabilityGate,pareto,balancedScore,selectedForFormal
R12,W96-S16-D70,96,16,70,0,0,0,300,True,0.0033783783783783816,170.0,168.0,19968,181886.0,1286.0,1843.4532333333327,PASS,PASS,True,0.13291498039186203,YES
R12,W128-S16-D70,128,16,70,0,0,0,300,True,0.0033783783783783816,170.0,196.0,26112,210558.0,1146.0,2139.7552666666666,PASS,PASS,True,0.24406035015504474,YES
R12,W160-S16-D70,160,16,70,0,0,0,300,True,0.0033783783783783816,170.0,260.0,32256,222846.0,1006.0,2239.5082666666663,PASS,PASS,True,0.39106113687703825,NO
R12,W192-S16-D70,192,16,70,0,0,0,300,True,0.0033783783783783816,170.0,324.0,38400,218750.0,866.0,2207.3409999999994,PASS,PASS,True,0.5298603179126083,NO
R12,W128-S8-D70,128,8,70,0,0,0,300,True,0.010135135135135144,154.0,212.0,26112,391806.0,1916.0,3887.386133333332,PASS,PASS,True,0.47807692307692307,NO
R12,W128-S25-D70,128,25,70,0,0,0,300,True,0.0,188.0,188.0,26112,143998.0,866.0,1453.904433333334,PASS,PASS,True,0.14483126642333935,YES
R12,W128-S50-D70,128,50,70,0,0,0,300,True,0.0,238.0,232.0,26112,78462.0,586.0,805.1635999999999,PASS,PASS,True,0.14871794871794872,YES
R12,W128-S25-D35,128,25,35,0,0,0,300,True,0.09459459459459468,118.0,180.0,26112,143998.0,586.0,1458.1639000000005,PASS,FAIL,,,NO
R12,W128-S25-D49,128,25,49,0,0,0,300,True,0.03378378378378381,146.0,180.0,26112,143998.0,698.0,1455.4958333333336,PASS,PASS,True,0.47515280353013856,NO
R12,W128-S25-D84,128,25,84,0,0,0,300,True,0.0,216.0,214.0,26112,143998.0,978.0,1455.881266666667,PASS,PASS,False,0.18454452584969422,NO
R12,W128-S25-D98,128,25,98,0,0,0,300,True,0.0,244.0,242.0,26112,143998.0,1090.0,1464.720133333334,PASS,PASS,False,0.2270445204780979,NO
R23,W96-S16-D70,96,16,70,0,0,0,300,True,0.098901098901099,127.0,126.0,19968,181886.0,1286.0,1618.3772333333327,PASS,FAIL,,,NO
R23,W128-S16-D70,128,16,70,0,0,0,300,True,0.08791208791208799,127.0,147.0,26112,210558.0,1146.0,1848.0225666666672,PASS,FAIL,,,NO
R23,W160-S16-D70,160,16,70,0,0,0,300,True,0.08791208791208799,127.0,195.0,32256,222846.0,1006.0,1977.3473999999994,PASS,FAIL,,,NO
R23,W192-S16-D70,192,16,70,0,0,0,300,True,0.076923076923077,127.0,243.0,38400,218750.0,866.0,1929.248766666665,PASS,FAIL,,,NO
R23,W128-S8-D70,128,8,70,0,0,0,300,True,0.10989010989010999,115.0,159.0,26112,391806.0,1916.0,3446.344066666666,PASS,FAIL,,,NO
R23,W128-S25-D70,128,25,70,0,0,0,300,True,0.05555555555555561,141.0,141.0,26112,143998.0,866.0,1274.0154333333335,PASS,FAIL,,,NO
R23,W128-S50-D70,128,50,70,0,0,0,300,True,0.032967032967032996,178.0,174.0,26112,78462.0,586.0,718.2716666666673,PASS,PASS,True,0.4833333333333333,YES
R23,W128-S25-D35,128,25,35,0,0,0,300,True,0.6071428571428571,88.0,135.0,26112,143998.0,586.0,1261.5888999999995,PASS,FAIL,,,NO
R23,W128-S25-D49,128,25,49,0,0,0,300,True,0.18681318681318684,109.0,135.0,26112,143998.0,698.0,1272.9082666666673,PASS,FAIL,,,NO
R23,W128-S25-D84,128,25,84,0,0,0,300,True,0.021978021978021997,162.0,160.0,26112,143998.0,978.0,1273.3203666666666,PASS,PASS,True,0.4083333333333333,YES
R23,W128-S25-D98,128,25,98,0,0,0,300,True,0.010989010989010999,183.0,181.0,26112,143998.0,1090.0,1264.4667333333325,PASS,PASS,True,0.4484048907179975,YES
R34,W96-S16-D70,96,16,70,0,0,0,300,True,0.177257525083612,113.0,112.0,19968,181886.0,1286.0,1491.4191666666663,PASS,FAIL,,,NO
R34,W128-S16-D70,128,16,70,0,0,0,300,True,0.1538461538461538,113.0,130.0,26112,210558.0,1146.0,1707.0299666666651,PASS,FAIL,,,NO
R34,W160-S16-D70,160,16,70,0,0,0,300,True,0.1270903010033446,113.0,173.0,32256,222846.0,1006.0,1802.625866666668,PASS,FAIL,,,NO
R34,W192-S16-D70,192,16,70,0,0,0,300,True,0.11036789297658874,113.0,216.0,38400,218750.0,866.0,1772.6407666666657,PASS,FAIL,,,NO
R34,W128-S8-D70,128,8,70,0,0,0,300,True,0.18394648829431437,102.0,141.0,26112,391806.0,1916.0,3117.230900000001,PASS,FAIL,,,NO
R34,W128-S25-D70,128,25,70,0,0,0,300,True,0.1363636363636365,125.0,125.0,26112,143998.0,866.0,1162.3494666666666,PASS,FAIL,,,NO
R34,W128-S50-D70,128,50,70,0,0,0,300,True,0.090909090909091,158.0,154.0,26112,78462.0,586.0,641.4866,PASS,FAIL,,,NO
R34,W128-S25-D35,128,25,35,0,0,0,300,True,0.9090909090909093,78.0,120.0,26112,143998.0,586.0,1161.1944999999998,PASS,FAIL,,,NO
R34,W128-S25-D49,128,25,49,0,0,0,300,True,0.45454545454545464,97.0,120.0,26112,143998.0,698.0,1174.5391666666662,PASS,FAIL,,,NO
R34,W128-S25-D84,128,25,84,0,0,0,300,True,0.07023411371237465,144.0,142.0,26112,143998.0,978.0,1168.3008333333319,PASS,FAIL,,,NO
R34,W128-S25-D98,128,25,98,0,0,0,300,True,0.030100334448160564,162.0,161.0,26112,143998.0,1090.0,1165.2906666666665,PASS,PASS,True,0.4341517108083323,YES
R34,W160-S25-D112,160,25,112,0,0,0,300,True,0.006688963210702347,181.0,186.0,32256,142206.0,978.0,1521.8831333333335,PASS,PASS,True,0.36114558819515374,YES
R34,W192-S25-D112,192,25,112,0,0,0,300,True,0.006688963210702347,181.0,220.0,38400,145406.0,866.0,1529.5849333333338,PASS,PASS,True,0.5681009629895523,NO
R34,W160-S16-D112,160,16,112,0,0,0,300,True,0.01003344481605352,169.0,173.0,32256,222846.0,1426.0,2364.035400000002,PASS,PASS,True,0.5073446327683616,NO
R34,W192-S50-D112,192,50,112,0,0,0,300,True,0.0033444816053511735,214.0,208.0,38400,93054.0,642.0,1004.0401333333333,PASS,PASS,True,0.398210922787194,YES
R34,W160-S25-D126,160,25,126,0,0,0,300,True,0.0,200.0,199.0,32256,142206.0,1062.0,1523.209733333333,PASS,PASS,True,0.33556886577039974,YES
R34,W192-S25-D126,192,25,126,0,0,0,300,True,0.0,200.0,220.0,38400,145406.0,936.0,1528.6877000000004,PASS,PASS,True,0.4969536405143745,NO
