windowInputBits,slideStepBits,status,survivorMemoryBytes,windowBufferBytes,estimatedFirstOutputInputTime,selected
64,25,INVALID,13440,1024,0,NO
64,50,INVALID,13440,1024,0,NO
64,100,INVALID,13440,1024,0,NO
96,25,VALID,13440,1536,74,YES
96,50,VALID,13440,1536,99,NO
96,100,INVALID,13440,1536,0,NO
128,25,VALID,13440,2048,74,NO
128,50,VALID,13440,2048,99,NO
128,100,VALID,13440,2048,99,NO
192,25,VALID,13440,3072,74,NO
192,50,VALID,13440,3072,99,NO
192,100,VALID,13440,3072,99,NO
