caseId,bitIndex,receiveTimeInputBit,decisionTimeInputBit,region
CC-C-R12-S,71,71,149,middle
CC-C-R12-S,72,72,149,middle
CC-C-R12-S,73,73,149,middle
CC-C-R12-S,74,74,149,middle
CC-C-R12-S,75,75,149,middle
CC-C-R12-S,76,76,149,middle
CC-C-R12-S,77,77,149,middle
CC-C-R12-S,78,78,149,middle
CC-C-R12-S,79,79,149,middle
CC-C-R12-S,80,80,149,middle
CC-C-R12-S,81,81,174,middle
CC-C-R12-S,82,82,174,middle
CC-C-R12-S,83,83,174,middle
CC-C-R12-S,84,84,174,middle
CC-C-R12-S,85,85,174,middle
CC-C-R12-S,86,86,174,middle
CC-C-R12-S,87,87,174,middle
CC-C-R12-S,88,88,174,middle
CC-C-R12-S,89,89,174,middle
CC-C-R12-S,90,90,174,middle
CC-C-R12-S,91,91,174,middle
CC-C-R12-S,92,92,174,middle
CC-C-R12-S,93,93,174,middle
CC-C-R12-S,94,94,174,middle
CC-C-R12-S,95,95,174,boundary
CC-C-R12-S,96,96,174,boundary
CC-C-R12-S,97,97,174,boundary
CC-C-R12-S,98,98,174,boundary
CC-C-R12-S,99,99,174,boundary
CC-C-R12-S,100,100,174,boundary
CC-C-R12-S,101,101,174,boundary
CC-C-R12-S,102,102,174,boundary
CC-C-R12-S,103,103,174,boundary
CC-C-R12-S,104,104,174,boundary
CC-C-R12-S,105,105,174,middle
CC-C-R12-S,106,106,199,middle
CC-C-R12-S,107,107,199,middle
CC-C-R12-S,108,108,199,middle
CC-C-R12-S,109,109,199,middle
CC-C-R12-S,110,110,199,middle
CC-C-R12-S,111,111,199,middle
CC-C-R12-S,112,112,199,middle
CC-C-R12-S,113,113,199,middle
CC-C-R12-S,114,114,199,middle
CC-C-R12-S,115,115,199,middle
CC-C-R12-S,116,116,199,middle
CC-C-R12-S,117,117,199,middle
CC-C-R12-S,118,118,199,middle
CC-C-R12-S,119,119,199,middle
CC-C-R12-S,120,120,199,middle
CC-C-R12-S,121,121,199,middle
CC-C-R12-S,122,122,199,middle
CC-C-R12-S,123,123,199,middle
CC-C-R12-S,124,124,199,middle
CC-C-R12-S,125,125,199,middle
CC-C-R12-S,126,126,199,middle
CC-C-R12-S,127,127,199,middle
CC-C-R12-S,128,128,199,middle
CC-C-R12-S,129,129,199,middle
CC-C-R12-S,130,130,199,middle
CC-C-R12-S,131,131,224,middle
CC-C-R12-S,132,132,224,middle
CC-C-R12-S,133,133,224,middle
CC-C-R12-S,134,134,224,middle
CC-C-R12-S,135,135,224,middle
CC-C-R12-S,136,136,224,middle
CC-C-R12-S,137,137,224,middle
CC-C-R12-S,138,138,224,middle
CC-C-R12-S,139,139,224,middle
CC-C-R12-S,140,140,224,middle
CC-C-R12-S,141,141,224,middle
CC-C-R12-S,142,142,224,middle
CC-C-R12-S,143,143,224,middle
CC-C-R12-S,144,144,224,middle
CC-C-R12-S,145,145,224,boundary
CC-C-R12-S,146,146,224,boundary
CC-C-R12-S,147,147,224,boundary
CC-C-R12-S,148,148,224,boundary
CC-C-R12-S,149,149,224,boundary
CC-C-R12-S,150,150,224,boundary
CC-C-R12-S,151,151,224,boundary
CC-C-R12-S,152,152,224,boundary
CC-C-R12-S,153,153,224,boundary
CC-C-R12-S,154,154,224,boundary
CC-C-R12-S,155,155,224,middle
CC-C-R12-S,156,156,249,middle
CC-C-R12-S,157,157,249,middle
CC-C-R12-S,158,158,249,middle
CC-C-R12-S,159,159,249,middle
CC-C-R12-S,160,160,249,middle
CC-C-R12-S,161,161,249,middle
CC-C-R12-S,162,162,249,middle
CC-C-R12-S,163,163,249,middle
CC-C-R12-S,164,164,249,middle
CC-C-R12-S,165,165,249,middle
CC-C-R12-S,166,166,249,middle
CC-C-R12-S,167,167,249,middle
CC-C-R12-S,168,168,249,middle
CC-C-R12-S,169,169,249,middle
CC-C-R12-S,170,170,249,middle
CC-C-R12-S,171,171,249,middle
CC-C-R12-S,172,172,249,middle
CC-C-R12-S,173,173,249,middle
CC-C-R12-S,174,174,249,middle
CC-C-R12-S,175,175,249,middle
CC-C-R12-S,176,176,249,middle
CC-C-R12-S,177,177,249,middle
CC-C-R12-S,178,178,249,middle
CC-C-R12-S,179,179,249,middle
CC-C-R12-S,180,180,249,middle
CC-C-R12-S,181,181,274,middle
CC-C-R12-S,182,182,274,middle
CC-C-R12-S,183,183,274,middle
CC-C-R12-S,184,184,274,middle
CC-C-R12-S,185,185,274,middle
CC-C-R12-S,186,186,274,middle
CC-C-R12-S,187,187,274,middle
CC-C-R12-S,188,188,274,middle
CC-C-R12-S,189,189,274,middle
CC-C-R12-S,190,190,274,middle
CC-C-R12-S,191,191,274,middle
CC-C-R12-S,192,192,274,middle
CC-C-R12-S,193,193,274,middle
CC-C-R12-S,194,194,274,middle
CC-C-R12-S,195,195,274,boundary
CC-C-R12-S,196,196,274,boundary
CC-C-R12-S,197,197,274,boundary
CC-C-R12-S,198,198,274,boundary
CC-C-R12-S,199,199,274,boundary
CC-C-R12-S,200,200,274,boundary
CC-C-R12-S,201,201,274,boundary
CC-C-R12-S,202,202,274,boundary
CC-C-R12-S,203,203,274,boundary
CC-C-R12-S,204,204,274,boundary
CC-C-R12-S,205,205,274,middle
CC-C-R12-S,206,206,299,middle
CC-C-R12-S,207,207,299,middle
CC-C-R12-S,208,208,299,middle
CC-C-R12-S,209,209,299,middle
CC-C-R12-S,210,210,299,middle
CC-C-R12-S,211,211,299,middle
CC-C-R12-S,212,212,299,middle
CC-C-R12-S,213,213,299,middle
CC-C-R12-S,214,214,299,middle
CC-C-R12-S,215,215,299,middle
CC-C-R12-S,216,216,299,middle
CC-C-R12-S,217,217,299,middle
CC-C-R12-S,218,218,299,middle
CC-C-R12-S,219,219,299,middle
CC-C-R12-S,220,220,299,middle
CC-C-R12-S,221,221,299,middle
CC-C-R12-S,222,222,299,middle
CC-C-R12-S,223,223,299,middle
CC-C-R12-S,224,224,299,middle
CC-C-R12-S,225,225,299,middle
CC-C-R12-S,226,226,299,middle
CC-C-R12-S,227,227,299,middle
CC-C-R12-S,228,228,299,middle
CC-C-R12-S,229,229,299,middle
CC-C-R12-S,230,230,299,tail
CC-C-R12-S,231,231,305,tail
CC-C-R12-S,232,232,305,tail
CC-C-R12-S,233,233,305,tail
CC-C-R12-S,234,234,305,tail
CC-C-R12-S,235,235,305,tail
CC-C-R12-S,236,236,305,tail
CC-C-R12-S,237,237,305,tail
CC-C-R12-S,238,238,305,tail
CC-C-R12-S,239,239,305,tail
CC-C-R12-S,240,240,305,tail
CC-C-R12-S,241,241,305,tail
CC-C-R12-S,242,242,305,tail
CC-C-R12-S,243,243,305,tail
CC-C-R12-S,244,244,305,tail
CC-C-R12-S,245,245,305,tail
CC-C-R12-S,246,246,305,tail
CC-C-R12-S,247,247,305,tail
CC-C-R12-S,248,248,305,tail
CC-C-R12-S,249,249,305,tail
CC-C-R12-S,250,250,305,tail
CC-C-R12-S,251,251,305,tail
CC-C-R12-S,252,252,305,tail
CC-C-R12-S,253,253,305,tail
CC-C-R12-S,254,254,305,tail
CC-C-R12-S,255,255,305,tail
CC-C-R12-S,256,256,305,tail
CC-C-R12-S,257,257,305,tail
CC-C-R12-S,258,258,305,tail
CC-C-R12-S,259,259,305,tail
CC-C-R12-S,260,260,305,tail
CC-C-R12-S,261,261,305,tail
CC-C-R12-S,262,262,305,tail
CC-C-R12-S,263,263,305,tail
CC-C-R12-S,264,264,305,tail
CC-C-R12-S,265,265,305,tail
CC-C-R12-S,266,266,305,tail
CC-C-R12-S,267,267,305,tail
CC-C-R12-S,268,268,305,tail
CC-C-R12-S,269,269,305,tail
CC-C-R12-S,270,270,305,tail
CC-C-R12-S,271,271,305,tail
CC-C-R12-S,272,272,305,tail
CC-C-R12-S,273,273,305,tail
CC-C-R12-S,274,274,305,tail
CC-C-R12-S,275,275,305,tail
CC-C-R12-S,276,276,305,tail
CC-C-R12-S,277,277,305,tail
CC-C-R12-S,278,278,305,tail
CC-C-R12-S,279,279,305,tail
CC-C-R12-S,280,280,305,tail
CC-C-R12-S,281,281,305,tail
CC-C-R12-S,282,282,305,tail
CC-C-R12-S,283,283,305,tail
CC-C-R12-S,284,284,305,tail
CC-C-R12-S,285,285,305,tail
CC-C-R12-S,286,286,305,tail
CC-C-R12-S,287,287,305,tail
CC-C-R12-S,288,288,305,tail
CC-C-R12-S,289,289,305,tail
CC-C-R12-S,290,290,305,tail
CC-C-R12-S,291,291,305,tail
CC-C-R12-S,292,292,305,tail
CC-C-R12-S,293,293,305,tail
CC-C-R12-S,294,294,305,tail
CC-C-R12-S,295,295,305,tail
CC-C-R12-S,296,296,305,tail
CC-C-R12-S,297,297,305,tail
CC-C-R12-S,298,298,305,tail
CC-C-R12-S,299,299,305,tail
CC-C-R23-S,0,0,74,head
CC-C-R23-S,1,1,74,head
CC-C-R23-S,2,2,74,head
CC-C-R23-S,3,3,74,head
CC-C-R23-S,4,4,74,head
CC-C-R23-S,5,5,74,head
CC-C-R23-S,6,6,99,head
CC-C-R23-S,7,7,99,head
CC-C-R23-S,8,8,99,head
CC-C-R23-S,9,9,99,head
CC-C-R23-S,10,10,99,head
CC-C-R23-S,11,11,99,head
CC-C-R23-S,12,12,99,head
CC-C-R23-S,13,13,99,head
CC-C-R23-S,14,14,99,head
CC-C-R23-S,15,15,99,head
CC-C-R23-S,16,16,99,head
CC-C-R23-S,17,17,99,head
CC-C-R23-S,18,18,99,head
CC-C-R23-S,19,19,99,head
CC-C-R23-S,20,20,99,head
CC-C-R23-S,21,21,99,head
CC-C-R23-S,22,22,99,head
CC-C-R23-S,23,23,99,head
CC-C-R23-S,24,24,99,head
CC-C-R23-S,25,25,99,head
CC-C-R23-S,26,26,99,head
CC-C-R23-S,27,27,99,head
CC-C-R23-S,28,28,99,head
CC-C-R23-S,29,29,99,head
CC-C-R23-S,30,30,99,head
CC-C-R23-S,31,31,124,head
CC-C-R23-S,32,32,124,head
CC-C-R23-S,33,33,124,head
CC-C-R23-S,34,34,124,head
CC-C-R23-S,35,35,124,head
CC-C-R23-S,36,36,124,head
CC-C-R23-S,37,37,124,head
CC-C-R23-S,38,38,124,head
CC-C-R23-S,39,39,124,head
CC-C-R23-S,40,40,124,head
CC-C-R23-S,41,41,124,head
CC-C-R23-S,42,42,124,head
CC-C-R23-S,43,43,124,head
CC-C-R23-S,44,44,124,head
CC-C-R23-S,45,45,124,head
CC-C-R23-S,46,46,124,head
CC-C-R23-S,47,47,124,head
CC-C-R23-S,48,48,124,head
CC-C-R23-S,49,49,124,head
CC-C-R23-S,50,50,124,head
CC-C-R23-S,51,51,124,head
