rateCase,windowBits,slideBits,dtb,outputLength,lostBits,duplicateBits,finalFlushPass,windowCount,outputBatchCount,windowTriggerCount,survivorSlots,survivorAllocatedBytes,pathMetricMemoryBytes,tracebackOperations,ACSCount
R12,96,16,70,300,0,0,1,15,15,15,6144,18432,1536,1286,181886
R12,128,16,70,300,0,0,1,13,13,13,8192,24576,1536,1146,210558
R12,160,16,70,300,0,0,1,11,11,11,10240,30720,1536,1006,222846
R12,192,16,70,300,0,0,1,9,9,9,12288,36864,1536,866,218750
R12,128,8,70,300,0,0,1,24,24,24,8192,24576,1536,1916,391806
R12,128,25,70,300,0,0,1,9,9,9,8192,24576,1536,866,143998
R12,128,50,70,300,0,0,1,5,5,5,8192,24576,1536,586,78462
R12,128,25,35,300,0,0,1,9,9,9,8192,24576,1536,586,143998
R12,128,25,49,300,0,0,1,9,9,9,8192,24576,1536,698,143998
R12,128,25,84,300,0,0,1,9,9,9,8192,24576,1536,978,143998
R12,128,25,98,300,0,0,1,9,9,9,8192,24576,1536,1090,143998
R23,96,16,70,300,0,0,1,15,15,15,6144,18432,1536,1286,181886
R23,128,16,70,300,0,0,1,13,13,13,8192,24576,1536,1146,210558
R23,160,16,70,300,0,0,1,11,11,11,10240,30720,1536,1006,222846
R23,192,16,70,300,0,0,1,9,9,9,12288,36864,1536,866,218750
R23,128,8,70,300,0,0,1,24,24,24,8192,24576,1536,1916,391806
R23,128,25,70,300,0,0,1,9,9,9,8192,24576,1536,866,143998
R23,128,50,70,300,0,0,1,5,5,5,8192,24576,1536,586,78462
R23,128,25,35,300,0,0,1,9,9,9,8192,24576,1536,586,143998
R23,128,25,49,300,0,0,1,9,9,9,8192,24576,1536,698,143998
R23,128,25,84,300,0,0,1,9,9,9,8192,24576,1536,978,143998
R23,128,25,98,300,0,0,1,9,9,9,8192,24576,1536,1090,143998
R34,96,16,70,300,0,0,1,15,15,15,6144,18432,1536,1286,181886
R34,128,16,70,300,0,0,1,13,13,13,8192,24576,1536,1146,210558
R34,160,16,70,300,0,0,1,11,11,11,10240,30720,1536,1006,222846
R34,192,16,70,300,0,0,1,9,9,9,12288,36864,1536,866,218750
R34,128,8,70,300,0,0,1,24,24,24,8192,24576,1536,1916,391806
R34,128,25,70,300,0,0,1,9,9,9,8192,24576,1536,866,143998
R34,128,50,70,300,0,0,1,5,5,5,8192,24576,1536,586,78462
R34,128,25,35,300,0,0,1,9,9,9,8192,24576,1536,586,143998
R34,128,25,49,300,0,0,1,9,9,9,8192,24576,1536,698,143998
R34,128,25,84,300,0,0,1,9,9,9,8192,24576,1536,978,143998
R34,128,25,98,300,0,0,1,9,9,9,8192,24576,1536,1090,143998
