runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,windowBits,slideBits,dtb,minFrames,targetFrameErrors,maxFrames,sourceStage09RowId
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,6.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,6.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,6.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,7.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,7.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,7.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,7.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,7.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,7.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,7.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,7.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,8.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,8.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,8.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,8.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,8.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,8.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,8.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,8.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,9.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,9.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,9.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,9.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,9.5,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,9.5,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,9.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,9.5,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W96-S16-D70,R12,GRID,10.0,96,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D70,R12,GRID,10.0,128,25,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R12,GRID,10.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S16-D70,R12,GRID,10.0,128,16,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-5.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-5.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-5.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-4.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-4.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-4.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-4.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-4.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-4.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-3.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-3.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-3.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-3.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-3.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-3.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-2.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-2.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-2.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-2.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-2.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-2.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-1.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-1.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-1.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-1.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-1.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-1.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,-0.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,-0.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,-0.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,0.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,0.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,0.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,0.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,0.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,0.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,1.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,1.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,1.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,1.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,1.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,1.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,2.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,2.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,2.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,2.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,2.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,2.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,3.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,3.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,3.0,128,50,70,1000,200,50000,COARSE_GRID
