plotId,caseId,legendLabel,xSourceColumn,xRaw,xDisplay,ySourceColumn,yRaw,yPlot,yIsZero,ferRaw,ferPlot,ferIsZero,berRaw,berPlot,berIsZero,plotSurrogateUsed,framesProcessed,payloadBitsProcessed
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0,0,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.0023809523809523812,0.23809523809523811,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.0047619047619047623,0.47619047619047622,fer,0.91400000000000003,0.91400000000000003,false,0.91400000000000003,0.91400000000000003,false,0.0069533333333333331,0.0069533333333333331,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.0071428571428571426,0.7142857142857143,fer,0.98499999999999999,0.98499999999999999,false,0.98499999999999999,0.98499999999999999,false,0.0091066666666666674,0.0091066666666666674,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.0095238095238095247,0.95238095238095244,fer,0.98799999999999999,0.98799999999999999,false,0.98799999999999999,0.98799999999999999,false,0.011783333333333333,0.011783333333333333,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.011904761904761904,1.1904761904761905,fer,0.99399999999999999,0.99399999999999999,false,0.99399999999999999,0.99399999999999999,false,0.014749999999999999,0.014749999999999999,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.014285714285714285,1.4285714285714286,fer,0.98999999999999999,0.98999999999999999,false,0.98999999999999999,0.98999999999999999,false,0.016713333333333334,0.016713333333333334,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.019047619047619049,1.9047619047619049,fer,0.995,0.995,false,0.995,0.995,false,0.021056666666666668,0.021056666666666668,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.023809523809523808,2.3809523809523809,fer,0.99399999999999999,0.99399999999999999,false,0.99399999999999999,0.99399999999999999,false,0.024523333333333334,0.024523333333333334,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.028571428571428571,2.8571428571428572,fer,0.998,0.998,false,0.998,0.998,false,0.028113333333333334,0.028113333333333334,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.035714285714285712,3.5714285714285712,fer,1,1,false,1,1,false,0.036150000000000002,0.036150000000000002,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.047619047619047616,4.7619047619047619,fer,1,1,false,1,1,false,0.04816666666666667,0.04816666666666667,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.059523809523809521,5.9523809523809517,fer,1,1,false,1,1,false,0.060673333333333336,0.060673333333333336,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.071428571428571425,7.1428571428571423,fer,1,1,false,1,1,false,0.072706666666666669,0.072706666666666669,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.095238095238095233,9.5238095238095237,fer,1,1,false,1,1,false,0.097216666666666673,0.097216666666666673,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_S15,分块300,burstRatio,0.11904761904761904,11.904761904761903,fer,1,1,false,1,1,false,0.12172666666666666,0.12172666666666666,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0,0,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.0025252525252525255,0.25252525252525254,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.0050505050505050509,0.50505050505050508,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.007575757575757576,0.75757575757575757,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.010101010101010102,1.0101010101010102,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.012626262626262626,1.2626262626262625,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.015151515151515152,1.5151515151515151,fer,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,3.3333333333333334e-08,true,true,50000,15000000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.020202020202020204,2.0202020202020203,fer,0.748,0.748,false,0.748,0.748,false,0.019406666666666666,0.019406666666666666,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.025252525252525252,2.5252525252525251,fer,0.751,0.751,false,0.751,0.751,false,0.024283333333333334,0.024283333333333334,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.030303030303030304,3.0303030303030303,fer,0.77500000000000002,0.77500000000000002,false,0.77500000000000002,0.77500000000000002,false,0.029836666666666668,0.029836666666666668,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.03787878787878788,3.7878787878787881,fer,0.80800000000000005,0.80800000000000005,false,0.80800000000000005,0.80800000000000005,false,0.038093333333333333,0.038093333333333333,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.050505050505050504,5.0505050505050502,fer,0.82699999999999996,0.82699999999999996,false,0.82699999999999996,0.82699999999999996,false,0.051456666666666664,0.051456666666666664,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.063131313131313135,6.3131313131313131,fer,0.86399999999999999,0.86399999999999999,false,0.86399999999999999,0.86399999999999999,false,0.064976666666666669,0.064976666666666669,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.07575757575757576,7.5757575757575761,fer,0.89300000000000002,0.89300000000000002,false,0.89300000000000002,0.89300000000000002,false,0.079043333333333327,0.079043333333333327,false,false,1000,300000
stage14_burst_formal_k300_fer_vs_burst_ratio,K300_M255K207,255双块300,burstRatio,0.10101010101010101,10.1010101010101,fer,0.93700000000000006,0.93700000000000006,false,0.93700000000000006,0.93700000000000006,false,0.10595,0.10595,false,false,1000,300000
