schemeId,rate,decisionMode,organization,comparisonBasis,targetFer,fixedSnrDb,FER,exclusionReason,snrAtFer01,coveredByData,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,totalMemoryBytes,avgDecodeTimeUs,tracebackOperations,normalizedGoodput,BER
R12_BLOCK_HARD,R12,Hard,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,1.3759120733374468,True,,,,,420.1940690906309,,0.44081469364420417,
R12_BLOCK_HARD,R12,Hard,A_BLOCK_300,fixed_snr,,2.0,0.0297353553374962,,,True,,,,,381.66752899197166,,0.4756199238541684,0.0005144216473386
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,-0.7086106776176324,True,,,,,513.9814342908815,,0.4402680146555954,
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,A_BLOCK_300,fixed_snr,,2.0,0.0,,,True,,,,,448.27408800000103,,0.4901960784313725,0.0
R12_HARD_A_BLOCK_300,R12,Hard,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,1.3669523782519952,True,610.0,311.0,580.0,59776.0,369.08489953231583,652281.3130041542,0.4369388164117241,
R12_HARD_A_BLOCK_300,R12,Hard,A_BLOCK_300,fixed_snr,,2.0,0.0284131268646114,,,True,610.0,311.0,580.0,59776.0,378.2961784344368,2153934.0,0.4762680750663668,0.0004816025003551
R12_HARD_B_CONT_50x6,R12,Hard,B_CONT_50x6,fixed_target_fer,0.1,,0.1,,1.3669523782519952,True,298.0,231.0,342.0,26112.0,1739.1913743922098,1845998.7485673125,0.4369388164117241,
R12_HARD_B_CONT_50x6,R12,Hard,B_CONT_50x6,fixed_snr,,2.0,0.0284131268646114,,,True,298.0,231.0,342.0,26112.0,1774.2525642846963,6095774.0,0.4762680750663668,0.0004816025003551
R12_HARD_C_CONT_100x3,R12,Hard,C_CONT_100x3,fixed_target_fer,0.1,,0.1,,1.3669523782519952,True,398.0,258.0,430.0,26112.0,1724.0283398537285,1845998.7485673125,0.4369388164117241,
R12_HARD_C_CONT_100x3,R12,Hard,C_CONT_100x3,fixed_snr,,2.0,0.0284131268646114,,,True,398.0,258.0,430.0,26112.0,1752.6149310981632,6095774.0,0.4762680750663668,0.0004816025003551
