rateCase,organization,worstRelativeFerIncreaseVsBlock,reliabilityGate,representativeSnrDb,representativeFER,firstOutputDelaySymbols,p95DecisionDelaySymbols,peakRxBufferSymbols,avgDecodeTimeUs,normalizedGoodput,normalized_firstOutputDelaySymbols,normalized_p95DecisionDelaySymbols,normalized_peakRxBufferSymbols,normalized_avgDecodeTimeUs,balancedScore,selectedBalanced
R12,B_CONT_50x6,0.006936416184971234,PASS,-0.5,0.0593824228028503,298,342,362,1469.4881828978582,0.4610870476456616,0.0,0.0,0.0,1.0,0.10208092485549138,1
R12,C_CONT_100x3,0.006936416184971234,PASS,-0.5,0.0593824228028503,398,430,462,1457.683461995248,0.4610870476456616,1.0,0.46808510638297873,0.5,0.3846893136268735,0.45916687749477453,0
R12,D_CONT_150x2,0.006936416184971234,PASS,-0.5,0.0593824228028503,298,530,562,1450.3032066508315,0.4610870476456616,0.0,1.0,1.0,0.0,0.35208092485549136,0
R23,B_CONT_50x6,0.016000000000000014,PASS,1.0,0.0890652557319223,223,256,272,1943.480335097004,0.5953821857961292,0.0,0.0,0.0,1.0,0.1048,1
R23,C_CONT_100x3,0.016000000000000014,PASS,1.0,0.0890652557319223,298,322,347,1891.2576719576705,0.5953821857961292,1.0,0.46808510638297873,0.5,0.0,0.4234170212765958,0
R23,D_CONT_150x2,0.016000000000000014,PASS,1.0,0.0890652557319223,223,397,422,1905.342724867728,0.5953821857961292,0.0,1.0,1.0,0.2697115019293012,0.3817711501929301,0
R34,B_CONT_50x6,0.010000000000003804,PASS,2.0,0.0732414793328498,265,262,275,1701.4259245830317,0.6814400887258457,0.0,0.0,0.0,0.9007929698672017,0.09307929698672132,1
R34,C_CONT_100x3,0.010000000000003804,PASS,2.0,0.0732414793328498,265,320,342,1702.80946337926,0.6814400887258457,0.0,0.46774193548387094,0.5037593984962406,1.0,0.2721122968712114,0
R34,D_CONT_150x2,0.010000000000003804,PASS,2.0,0.0732414793328498,406,386,408,1688.863488034808,0.6814400887258457,1.0,1.0,1.0,0.0,0.6030000000000012,0
