caseId,snrDb,frameIndex,payloadHash,fillerHash,codedBitsHash,bpskHash,noiseHash,receivedSymbolsHash,llrHash,matrixHash,layerGraphHash,status
LDPC_BG2_K300_N480,0.5,7,5603509638386051636,6245988716238239987,2260961560213008455,10569255966809283815,16341692439991140960,16341692439991140960,16341692439991140960,10686891021816186243,10686891021816186243,PASS
LDPC_BG2_K300_N560,0.5,7,5603509638386051636,107338179055299571,1183083604889896084,5222396690468711152,1673035336578227713,1673035336578227713,1673035336578227713,13720916709203656171,13720916709203656171,PASS
LDPC_BG2_K300_N640,0.5,7,5603509638386051636,17980532650308945395,14822508263725555691,8176341025440393011,11288640187847036001,11288640187847036001,11288640187847036001,6579861619555394979,6579861619555394979,PASS
