figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,26,13,14.46128035678238,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,27,13.5,14.96128035678238,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,28,14,15.46128035678238,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,29,14.5,15.96128035678238,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,30,15,16.461280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,31,15.5,16.961280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,32,16,17.461280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,33,16.5,17.961280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,34,17,18.461280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,35,17.5,18.961280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无突发,300,分块,无突发,NONE_L0,36,18,19.461280356782382,0.7142857142857143,0,0,0,15000000,0,50000,0,0
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,0,0,1.46128035678238,0.7142857142857143,0.092016666666666663,1,27605,300000,1000,1000,0.092016666666666663,1
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,1,0.5,1.96128035678238,0.7142857142857143,0.076303333333333334,1,22891,300000,1000,1000,0.076303333333333334,1
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,2,1,2.46128035678238,0.7142857142857143,0.062619999999999995,1,18786,300000,1000,1000,0.062619999999999995,1
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,3,1.5,2.96128035678238,0.7142857142857143,0.052253333333333332,1,15676,300000,1000,1000,0.052253333333333332,1
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,4,2,3.46128035678238,0.7142857142857143,0.042283333333333332,0.999,12685,300000,999,1000,0.042283333333333332,0.999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,5,2.5,3.96128035678238,0.7142857142857143,0.035560000000000001,1,10668,300000,1000,1000,0.035560000000000001,1
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,6,3,4.46128035678238,0.7142857142857143,0.029576666666666668,0.999,8873,300000,999,1000,0.029576666666666668,0.999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,7,3.5,4.96128035678238,0.7142857142857143,0.026103333333333333,0.99099999999999999,7831,300000,991,1000,0.026103333333333333,0.99099999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,8,4,5.46128035678238,0.7142857142857143,0.02409,0.998,7227,300000,998,1000,0.02409,0.998
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,9,4.5,5.96128035678238,0.7142857142857143,0.022349999999999998,0.99299999999999999,6705,300000,993,1000,0.022349999999999998,0.99299999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,10,5,6.46128035678238,0.7142857142857143,0.021286666666666666,0.98999999999999999,6386,300000,990,1000,0.021286666666666666,0.98999999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,11,5.5,6.96128035678238,0.7142857142857143,0.021036666666666665,0.99299999999999999,6311,300000,993,1000,0.021036666666666665,0.99299999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,12,6,7.46128035678238,0.7142857142857143,0.02103,0.99299999999999999,6309,300000,993,1000,0.02103,0.99299999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,13,6.5,7.96128035678238,0.7142857142857143,0.020876666666666668,0.99199999999999999,6263,300000,992,1000,0.020876666666666668,0.99199999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,14,7,8.46128035678238,0.7142857142857143,0.021056666666666668,0.99399999999999999,6317,300000,994,1000,0.021056666666666668,0.99399999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,15,7.5,8.96128035678238,0.7142857142857143,0.02094,0.98899999999999999,6282,300000,989,1000,0.02094,0.98899999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,16,8,9.46128035678238,0.7142857142857143,0.020963333333333334,0.99099999999999999,6289,300000,991,1000,0.020963333333333334,0.99099999999999999
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,17,8.5,9.96128035678238,0.7142857142857143,0.020463333333333333,0.995,6139,300000,995,1000,0.020463333333333333,0.995
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,18,9,10.46128035678238,0.7142857142857143,0.021056666666666668,0.996,6317,300000,996,1000,0.021056666666666668,0.996
s16_org_k300_ber_overview,K300_S15,分块300-无交织突发,300,分块,无交织突发,NONE_LREP,19,9.5,10.96128035678238,0.7142857142857143,0.020750000000000001,0.98899999999999999,6225,300000,989,1000,0.020750000000000001,0.98899999999999999
