taskIndex,taskKey,shardId,group,channel,esN0Db,schemePointCount,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,configHash
0,RATE_NEAR_2_3_AWGN_-5.0,0,RATE_NEAR_2_3,AWGN,-5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
1,RATE_NEAR_2_3_AWGN_-4.5,1,RATE_NEAR_2_3,AWGN,-4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
2,RATE_NEAR_2_3_AWGN_-4.0,2,RATE_NEAR_2_3,AWGN,-4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
3,RATE_NEAR_2_3_AWGN_-3.5,3,RATE_NEAR_2_3,AWGN,-3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
4,RATE_NEAR_2_3_AWGN_-3.0,0,RATE_NEAR_2_3,AWGN,-3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
5,RATE_NEAR_2_3_AWGN_-2.5,1,RATE_NEAR_2_3,AWGN,-2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
6,RATE_NEAR_2_3_AWGN_-2.0,2,RATE_NEAR_2_3,AWGN,-2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
7,RATE_NEAR_2_3_AWGN_-1.5,3,RATE_NEAR_2_3,AWGN,-1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
8,RATE_NEAR_2_3_AWGN_-1.0,0,RATE_NEAR_2_3,AWGN,-1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
9,RATE_NEAR_2_3_AWGN_-0.5,1,RATE_NEAR_2_3,AWGN,-0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
10,RATE_NEAR_2_3_AWGN_0.0,2,RATE_NEAR_2_3,AWGN,0.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
11,RATE_NEAR_2_3_AWGN_0.5,3,RATE_NEAR_2_3,AWGN,0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
12,RATE_NEAR_2_3_AWGN_1.0,0,RATE_NEAR_2_3,AWGN,1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
13,RATE_NEAR_2_3_AWGN_1.5,1,RATE_NEAR_2_3,AWGN,1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
14,RATE_NEAR_2_3_AWGN_2.0,2,RATE_NEAR_2_3,AWGN,2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
15,RATE_NEAR_2_3_AWGN_2.5,3,RATE_NEAR_2_3,AWGN,2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
16,RATE_NEAR_2_3_AWGN_3.0,0,RATE_NEAR_2_3,AWGN,3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
17,RATE_NEAR_2_3_AWGN_3.5,1,RATE_NEAR_2_3,AWGN,3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
18,RATE_NEAR_2_3_AWGN_4.0,2,RATE_NEAR_2_3,AWGN,4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
19,RATE_NEAR_2_3_AWGN_4.5,3,RATE_NEAR_2_3,AWGN,4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
20,RATE_NEAR_2_3_AWGN_5.0,0,RATE_NEAR_2_3,AWGN,5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
21,RATE_NEAR_2_3_AWGN_5.5,1,RATE_NEAR_2_3,AWGN,5.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
22,RATE_NEAR_2_3_AWGN_6.0,2,RATE_NEAR_2_3,AWGN,6.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
23,RATE_NEAR_2_3_AWGN_6.5,3,RATE_NEAR_2_3,AWGN,6.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
24,RATE_NEAR_2_3_AWGN_7.0,0,RATE_NEAR_2_3,AWGN,7.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
25,RATE_NEAR_2_3_AWGN_7.5,1,RATE_NEAR_2_3,AWGN,7.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
26,RATE_NEAR_2_3_AWGN_8.0,2,RATE_NEAR_2_3,AWGN,8.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
27,RATE_NEAR_2_3_AWGN_8.5,3,RATE_NEAR_2_3,AWGN,8.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
