parameter,value,unit_or_semantics
stage,stage01_cc_contract,identifier
payloadLength,300,bit
compatibilityPayloadLength,200,bit_non_formal
constraintLength,7,bit
memory,6,bit
stateCount,64,state
generator1Octal,171,octal
generator1Binary,1111001,MSB_to_LSB
generator2Octal,133,octal
generator2Binary,1011011,MSB_to_LSB
initialState,0,state_index
tailLength,6,zero_bit
K_codec_input,306,bit_for_K_payload_300
N_mother,612,bit_for_K_payload_300
N_transmittedMother,612,bit
actualRateMother,0.49019607843137253,K_payload_over_N_transmitted
bpskBit0,1.0,symbol
bpskBit1,-1.0,symbol
snrDefinition,BPSK_SYMBOL_ES_OVER_N0,definition
snrAxisLabel,SNR (dB),label
sigmaSquaredFormula,1/(2*10^(snrDb/10)),formula
llrFormula,2*y/sigmaSquared,formula
tieBreaking,metric_then_predecessor_then_input,ascending
metricNormalization,SUBTRACT_MIN_FINITE_EVERY_TRELLIS_STEP,policy
prescanMinFrames,300,frame
prescanTargetFrameErrors,30,frame
prescanMaxFrames,2000,frame
formalMinFrames,5000,frame
formalTargetFrameErrors,200,frame
formalMaxFrames,50000,frame
checkpointIntervalFrames,1000,frame
masterSeed,2026072001,unsigned_integer
overwriteExistingResults,false,boolean
