caseId,sampleId,encodedMismatchBits,recoveredMismatchBits,matlabRecoveredMatchesPayload,passed
K200_S15,1000000,0,0,1,1
K200_M255K207,1000000,0,0,1,1
K200_M511K421,1000000,0,0,1,1
K200_M511K385,1000000,0,0,1,1
K300_S15,1000000,0,0,1,1
K300_M255K207,1000000,0,0,1,1
K300_M511K421,1000000,0,0,1,1
K300_M511K385,1000000,0,0,1,1
