caseId,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,ber,fer,stopReason
K200_S15,1007,201400,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K200_M255K207,1007,201400,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K200_M511K421,1007,201400,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K200_M511K385,1007,201400,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K300_S15,1007,302100,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K300_M255K207,1007,302100,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K300_M511K421,1007,302100,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
K300_M511K385,1007,302100,0,0,0,0,0,1007,0,0,NOISELESS_FIXED_FRAMES
