caseId,configurationId,snrIndex,origin
K200_S15,NONE_L0,0,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,1,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,2,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,3,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,4,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,5,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,6,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,7,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,8,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,9,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,10,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,11,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,12,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,13,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,14,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,15,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,16,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,17,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,18,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,19,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,20,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,21,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,22,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,23,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,24,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,25,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,26,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,27,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,28,reused_verified_baseline_or_k300_l8
K200_S15,NONE_L0,29,reused_verified_baseline_or_k300_l8
