caseName,ebn0Db,snrIndex,frameIndex,noiseHash,channelHardBitErrors,decodedBitErrors,trueSuccess,reportedSuccess,miscorrected,decoderFailure,frameStatus
BCH-S300,6.5,65,2540,5424445f0c368cf2cdc903210551887928eb806a6184278952a1e2f302011623,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2541,f6bace40426be11bd64471828b951a60de9524d78452765784e8ee287d28afa0,0,0,1,1,0,0,NO_ERROR
BCH-S300,6.5,65,2542,7ba8c82e89676857baa8dd5e19d538c9cfb3e2dcd409f18c2e45652d4b47181a,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2543,14e6c34e0db1a1b2cf6f9787b23b61a2a739a9a979b2df54142dd9c237f5487d,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2544,8f581d815cc87cf3ca778fe05fddbf2d33e09a3a54cd64999f9583572f0df35d,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2545,27d780e7419289884ef5a26cf81512303f1737af71ec5734754e2c52da59a95c,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2546,3a29dde49b6330dc1a5a9673364e65b03c5ee9cbf6f0c8672259de5feca1c047,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2547,cb37a4794c58d85f156ca735e57591e033bee75975c710d8d5977906609f9997,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2548,ebf4155aec98a8d30a0d87274524d252c1db95ca3c29c7257467adfc8ba8f21a,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2549,80c718c3d6c43a867690faf273a658efdec957cef47cf40723e91b69347ec6a3,4,3,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2550,1af5a1bd87bc8b6792c235a672990fd4d7796872481064b25dabb2ad7afda002,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2551,7a5caca230f6858a749de4218490489a9db265faaee91a9e9d9ca59228fef759,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2552,7b26f7304ffbbf117b86a9704ededca90c640ccedcb517bcaedbc2c04e269c30,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2553,0e57247cabd68cae5f43de34076e01ff77a93733415e5582330fff92a10c8678,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2554,9d55149c0db1a04b94d76621349863a3123ec515c83a93fd7fd858939a8281cc,4,2,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2555,90746fc754ed9e0120d9a1b5ff95d42410ae2d36553e8a98501c565959899025,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2556,6f21dba144c185a68928c04130001f1de7aceae301fd2f9efa8544f71923f12f,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2557,caa4ebb53fc20924e392c28385b21bd4f56015042dd0b67390106d80aeed884e,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2558,abb7a383ead0a17442581a36ba810c4b49401348d773b9c9372b8e23afbf06e0,5,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2559,ad9cbcbea61fe3ecdf0c20f48b65e34f074c0a403e779b77352e4e0921d9e58f,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2560,3a74466656ea858f3665f2ed02e64ed09dd8dc0b625e0906e95a58ce79491696,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2561,efae9f8db637334129a0c2bb67d948e9ada7bc255aec3918fd845b1aec094c95,5,3,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2562,447a57cb07de8ff6575d84f33df9ed6dafcbd5fba491660ca720a5047d780d71,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2563,25d9af7e4a31408b77c471ce12b40e2d6a6b5b93362ca12c4c66349522325da9,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2564,1340887042c4bffa516fe5c8f0c56a9edfdbbe1d425679862fb3dd9dc8572f3f,3,3,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2565,0f3b712bc92fb2a75bf09d9774387a1b83fbfc13597888618e0cf6c38da58bba,0,0,1,1,0,0,NO_ERROR
BCH-S300,6.5,65,2566,ce20a639d83b7080aab4d922331140f6ad4b6ade94cea4b877ee61a091f8781d,3,3,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2567,ed202a43c28fe3fb639f24eeb425e8e69bfdaf01f89ee84e5fb3855c15ec608d,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2568,ba9e8650b2de8d2231eda5db8d86fd0499139394e75bed624cc43153ef874269,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2569,9050f84da4abda907fc2c7464a9341949f6ce9c56e492bf8b6a428dacc44bff8,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2570,67d33016f87304ddc4dabb2c7ae2134c75972d556b8e6fd897c250dd97cdf5da,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2571,35598fc7fd61f9257cfc1d5087062c5c8146ff47f2d26a9ab55994b63ae9afa2,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2572,a4fcce16ae5d163f0aa1404ad3acb988a3eafa1a76e5c0eb1e944afcf19c157e,5,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2573,a4bc2027ea1418d7a6ae10c651bd00b8fdc00855f65276747d3d4c8f4a94050a,5,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2574,cf230da9936ed41839c07a989b78818b9db6b41659f80cc2510f98b04f1541bd,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2575,37ebeb3060871b0b9f3aedfdaefb3b35ee4b2b250f9105350e4a9078aaa07185,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2576,b75758ed0a1e95d8045b4477d07bd38baf4b309b36784490910938ea948c8b64,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2577,9ead06dd25a9c9eff7b0aae5ebb99a47185ad8e86dec1d50c4be13d62d33946b,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2578,9624b76d418a43161938813005ae56ac10ff803ba1b8c46fc0ae92752b0f0e30,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2579,326d10823e9771cf79aa84e7f38ce25dda5fd5e21150729613e29f375d9c28f9,3,3,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2580,cade7b81edda28b9372a38ec0a85f41ab6608913248308093dc1468041618d82,0,0,1,1,0,0,NO_ERROR
BCH-S300,6.5,65,2581,e91e8448ef2d9e8bfb9c43d973cc7030b94bab4965802ff2ea91901ffd7dd2f5,5,3,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2582,97a15e5e4e5234c40cf32ff8e974b1e2e12aa0c78ae46e0d37bc25c3242f1ac3,0,0,1,1,0,0,NO_ERROR
BCH-S300,6.5,65,2583,dc87e9926ec67d1b622e9c0e90669a9740e5baa8ec20c70df45d600346a0fa3a,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2584,4b3303c60a3df646d14b9e479a1b485f213062bc9ef411709be15cd73add4b7b,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2585,a4b01c4374ae1204e66d63affa4781b5206f871362cc02fff0d15a7909e40e1c,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2586,fb3000a4a7c98ccde4052c1f31209fa61741084344cb7c0ef0c26f943d43b130,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2587,86d411021bd961893aafefe5e3c2cd49668b03e6e1a765877663a1f723b31fa6,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2588,9db827024f72264f5a0ad67cc0379a595234071aa1a406bad25983c74bf2cdf2,3,0,1,1,0,0,CORRECTED
