payloadLength,targetFer,segmentedEbN0,blockEbN0,gainBlockVsSegmented,gainValid,reason
200,0.1,6.202887049173538,4.587445581288869,1.6154414678846685,true,BOTH_CASES_BRACKET_TARGET
200,0.01,7.593497696726304,5.348166343479317,2.2453313532469874,true,BOTH_CASES_BRACKET_TARGET
200,0.001,,5.847226188212811,,false,AT_LEAST_ONE_CASE_NOT_BRACKETED
300,0.1,6.413944588341992,4.545055155041064,1.8688894333009278,true,BOTH_CASES_BRACKET_TARGET
300,0.01,7.709326504789244,5.157329769435952,2.551996735353292,true,BOTH_CASES_BRACKET_TARGET
300,0.001,8.66224051743405,,,false,AT_LEAST_ONE_CASE_NOT_BRACKETED
