caseName,ebn0Db,avgDecodeTimeUs
BCH-S200,4.5,14.70147999999999
BCH-S200,4.7,15.716319999999932
BCH-S200,4.9,15.89738000000001
BCH-S200,5.1,13.930540000000015
BCH-S200,5.3,14.465299999999967
BCH-S200,5.5,13.758560000000001
BCH-S200,5.7,13.881620000000026
BCH-S200,5.9,14.114459999999992
BCH-S200,6.1,14.084680000000025
BCH-S200,6.3,14.705999999999966
BCH-S200,6.5,13.374119999999992
BCH-S200,6.7,13.41919999999993
BCH-S200,6.9,13.589368029739775
BCH-S200,7.1,13.146844630335824
BCH-S200,7.3,13.443954638472023
BCH-S200,7.5,13.140845952408064
BCH-S200,7.7,13.141443112222946
BCH-S200,7.9,15.513345508955645
BCH-S200,8.1,15.772884000000051
BCH-S200,8.3,15.435189999999896
BCH-S200,8.5,15.376423999999863
BCH-B200,3.5,49.02721999999995
BCH-B200,3.7,50.19068000000003
BCH-B200,3.9,50.602340000000076
BCH-B200,4.1,52.29001999999988
BCH-B200,4.3,48.21223999999992
BCH-B200,4.5,49.63322000000009
BCH-B200,4.7,47.84535999999998
BCH-B200,4.9,44.348739999999935
BCH-B200,5.1,44.39778704297625
BCH-B200,5.3,43.74611250229021
BCH-B200,5.5,46.54754796306636
BCH-B200,5.7,48.80857000000013
BCH-B200,5.9,48.54762800000028
BCH-B200,6.0,47.522343999999485
BCH-S300,5.0,18.75077999999999
BCH-S300,5.2,21.90666000000001
BCH-S300,5.4,19.805919999999947
BCH-S300,5.6,19.395899999999987
BCH-S300,5.8,18.871220000000054
BCH-S300,6.0,20.253779999999985
BCH-S300,6.2,19.66242000000008
BCH-S300,6.4,18.534860000000002
BCH-S300,6.6,18.23217999999999
BCH-S300,6.8,17.516700000000007
BCH-S300,7.0,18.62234
BCH-S300,7.2,18.265589116325515
BCH-S300,7.4,17.773744595942794
BCH-S300,7.6,18.015020664980504
BCH-S300,7.8,18.846521885238772
BCH-S300,8.0,22.15994877362961
BCH-S300,8.2,25.734598000000013
BCH-S300,8.4,26.142934000000164
BCH-S300,8.6,23.884217999999994
BCH-S300,8.8,20.04102399999994
BCH-S300,9.0,21.271248000000092
BCH-B300,4.0,154.68108000000058
BCH-B300,4.2,161.75601999999992
BCH-B300,4.4,135.6986999999998
BCH-B300,4.6,126.25744000000017
BCH-B300,4.8,126.19012000000023
BCH-B300,5.0,116.77448851774514
BCH-B300,5.2,128.12779393095488
BCH-B300,5.4,128.10267600000034
BCH-B300,5.5,122.7008260000001
