caseId,legendLabel,styleId,ebn0Db,actualRate,snrLinear,snrDb,rawY,plotY,isZeroObserved,plotSurrogateUsed,plotSurrogateFormula,sourceCsv,sourceRowId
K200_S15,分块200,STYLE_1,8,0.70175438596491224,8.8555416769149939,9.4721513131945212,8805.2999999999993,8.805299999999999,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_S15:0
K200_S15,分块200,STYLE_1,12,0.70175438596491224,22.244114981910361,13.472151313194521,7615.6182637664115,7.6156182637664118,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_S15:1
K200_S15,分块200,STYLE_1,16,0.70175438596491224,55.874690603999625,17.472151313194523,12186.611999999999,12.186611999999998,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_S15:2
K200_M255K207,255整块200,STYLE_2,6,0.80645161290322576,6.421083396024148,8.0760831050174602,18568.82,18.568819999999999,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M255K207:0
K200_M255K207,255整块200,STYLE_2,8,0.80645161290322576,10.176731362583762,10.07608310501746,16811.259999999998,16.811259999999997,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M255K207:1
K200_M255K207,255整块200,STYLE_2,10,0.80645161290322576,16.129032258064516,12.07608310501746,18057.669999999998,18.057669999999998,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M255K207:2
K200_M511K421,421整块200,STYLE_3,4,0.68965517241379315,3.4646709400132147,5.3966199342900634,81190.639999999999,81.190640000000002,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M511K421:0
K200_M511K421,421整块200,STYLE_3,6,0.68965517241379315,5.4911333869447896,7.3966199342900634,50334.419999999998,50.334420000000001,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M511K421:1
K200_M511K421,421整块200,STYLE_3,8,0.68965517241379315,8.7028599238647359,9.3966199342900634,54163.363734734892,54.163363734734894,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M511K421:2
K200_M511K385,385整块200,STYLE_4,3,0.61349693251533743,2.4481746195937171,3.888423912600234,111241.94,111.24194,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M511K385:0
K200_M511K385,385整块200,STYLE_4,5,0.61349693251533743,3.8800952885501592,5.888423912600234,129473.84,129.47384,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M511K385:1
K200_M511K385,385整块200,STYLE_4,7,0.61349693251533743,6.1495366089235857,7.888423912600234,89419.339999999997,89.419339999999991,false,false,NONE,results/stage08_multipath_formal_results.csv,K200_M511K385:2
