caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,status,series,avg_check_node_updates,avg_variable_node_updates,avg_edge_message_updates,avg_normalized_complexity
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,7631,267,0.084788888888888886,0.89000000000000001,29.706666666666667,32,32,32,0.11,0.89000000000000001,3960.6083333333358,3940.8000000000002,5727.5900000000001,7936.6999999999998,40.483333333333334,0.11,0,2240,2851840,19962880,19962880,39925760,19962880,0,0,0,0,0,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,BP,9506.133333333333,66542.93333333333,66542.93333333333,66542.93333333333
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.59999999999999998,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,8778,293,0.097533333333333333,0.97666666666666668,31.483333333333334,32,32,32,0.023333333333333334,0.97666666666666668,983.23733333333314,922.20000000000005,1437.3000000000002,1803.0999999999999,42.403333333333336,0.023333333333333334,0,2240,3022400,21156800,21156800,0,0,21156800,42313600,12929170,21156800,21156800,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.60),10074.666666666666,70522.66666666667,70522.66666666667,70522.66666666667
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.65000000000000002,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,8729,285,0.096988888888888888,0.94999999999999996,31.106666666666666,32,32,32,0.050000000000000003,0.94999999999999996,1025.5669999999996,965.75,1445.8050000000003,2162.5999999999999,41.5,0.050000000000000003,0,2240,2986240,20903680,20903680,0,0,20903680,41807360,12799734,20903680,20903680,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.65),9954.133333333333,69678.93333333333,69678.93333333333,69678.93333333333
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.69999999999999996,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,8726,279,0.096955555555555559,0.93000000000000005,30.553333333333335,32,32,32,0.070000000000000007,0.93000000000000005,1047.1513333333335,1001.7,1541.4849999999999,2673,42.776666666666664,0.070000000000000007,0,2240,2933120,20531840,20531840,0,0,20531840,41063680,12594937,20531840,20531840,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.70),9777.066666666668,68439.46666666666,68439.46666666666,68439.46666666666
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.75,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,8823,276,0.098033333333333333,0.92000000000000004,30.32,32,32,32,0.080000000000000002,0.92000000000000004,1052.6273333333329,997.04999999999995,1529.6849999999999,2236.0999999999999,46.280000000000001,0.080000000000000002,0,2240,2910720,20375040,20375040,0,0,20375040,40750080,12515433,20375040,20375040,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.75),9702.4,67916.8,67916.8,67916.8
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.80000000000000004,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,9177,272,0.10196666666666666,0.90666666666666662,30.086666666666666,32,32,32,0.093333333333333338,0.90666666666666662,1036.7173333333333,995.25,1461.9950000000001,3176.6999999999998,52.923333333333332,0.093333333333333338,0,2240,2888320,20218240,20218240,0,0,20218240,40436480,12427099,20218240,20218240,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.80),9627.733333333334,67394.13333333333,67394.13333333333,67394.13333333333
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.84999999999999998,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,9696,275,0.10773333333333333,0.91666666666666663,30.27,32,32,32,0.083333333333333329,0.91666666666666663,1054.0169999999994,1006.95,1521.3550000000002,2727.4000000000001,59.813333333333333,0.083333333333333329,0,2240,2905920,20341440,20341440,0,0,20341440,40682880,12503861,20341440,20341440,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.85),9686.4,67804.8,67804.8,67804.8
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.90000000000000002,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,10866,280,0.12073333333333333,0.93333333333333335,30.68,32,32,32,0.063333333333333339,0.93666666666666665,1072.7306666666666,1005,1506.72,4122.6999999999998,66.719999999999999,0.066666666666666666,0,2240,2945280,20616960,20616960,0,0,20616960,41233920,12669072,20616960,20616960,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.90),9817.6,68723.2,68723.2,68723.2
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.94999999999999996,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,11684,284,0.12982222222222223,0.94666666666666666,31.003333333333334,32,32,32,0.053333333333333337,0.94666666666666666,1091.0966666666666,1020.15,1547.9450000000002,3419.0999999999999,76.219999999999999,0.053333333333333337,0,2240,2976320,20834240,20834240,0,0,20834240,41668480,12787645,20834240,20834240,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,NMS (α=0.95),9921.066666666668,69447.46666666666,69447.46666666666,69447.46666666666
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,1,-2.5,-2.5,0.79058719264224742,0.88913970501946138,300,12808,289,0.14231111111111111,0.96333333333333337,31.460000000000001,32,32,32,0.036666666666666667,0.96333333333333337,1099.2583333333334,1005.05,1533.7300000000002,2748.9000000000001,82.763333333333335,0.036666666666666667,0,2240,3020160,21141120,21141120,0,0,21141120,42282240,12962038,21141120,21141120,23680,2026072001,2026968361,640,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS,MS (α=1.00),10067.2,70470.4,70470.4,70470.4
