caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,status
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-2,-2,0.041199826559247921,0.79244659623055669,300,10973,300,0.12192222222222222,1,32,32,32,32,0,1,1036.0000000000007,947.20000000000005,1438.2349999999999,1810.5,21.443333333333332,0,0,672,921600,6451200,6451200,12902400,6451200,0,0,0,0,0,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.59999999999999998,-2,-2,0.041199826559247921,0.79244659623055669,300,11082,300,0.12313333333333333,1,32,32,32,32,0,1,243.56799999999987,218.75,381.125,572.89999999999998,15.82,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3855039,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.65000000000000002,-2,-2,0.041199826559247921,0.79244659623055669,300,11096,300,0.12328888888888889,1,32,32,32,32,0,1,233.92466666666664,203.90000000000001,362.86500000000007,1853.0999999999999,13.67,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3856977,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.69999999999999996,-2,-2,0.041199826559247921,0.79244659623055669,300,11091,300,0.12323333333333333,1,32,32,32,32,0,1,223.44099999999986,201.59999999999999,332.32500000000005,693.39999999999998,11.890000000000001,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3859238,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.75,-2,-2,0.041199826559247921,0.79244659623055669,300,11131,300,0.12367777777777778,1,32,32,32,32,0,1,224.1983333333333,202.19999999999999,328.89500000000004,651.89999999999998,9.8633333333333333,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3862466,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-2,-2,0.041199826559247921,0.79244659623055669,300,11183,300,0.12425555555555555,1,32,32,32,32,0,1,222.4610000000001,202.09999999999999,328.90000000000009,621.60000000000002,8.0399999999999991,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3863905,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.84999999999999998,-2,-2,0.041199826559247921,0.79244659623055669,300,11242,300,0.12491111111111111,1,31.899999999999999,32,32,32,0.0033333333333333335,0.9966666666666667,217.41099999999997,201.30000000000001,331.44499999999999,530.70000000000005,6.04,0.0033333333333333335,0,672,918720,6431040,6431040,0,0,6431040,12862080,3851834,6431040,6431040,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,-2,-2,0.041199826559247921,0.79244659623055669,300,11331,300,0.12590000000000001,1,30.829999999999998,32,32,32,0.040000000000000001,0.95999999999999996,216.88800000000018,201.64999999999998,357.27500000000009,739.10000000000002,3.9066666666666667,0.040000000000000001,0,672,887904,6215328,6215328,0,0,6215328,12430656,3724001,6215328,6215328,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.94999999999999996,-2,-2,0.041199826559247921,0.79244659623055669,300,11441,300,0.12712222222222222,1,26.386666666666667,32,32,32,0.19333333333333333,0.80666666666666664,186.56033333333349,201,334.30000000000007,544.70000000000005,1.9566666666666668,0.19333333333333333,0,672,759936,5319552,5319552,0,0,5319552,10639104,3194006,5319552,5319552,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,-2,-2,0.041199826559247921,0.79244659623055669,300,11560,300,0.12844444444444444,1,3.3100000000000001,3,5,11,1,0,27.75533333333334,23.399999999999999,47.299999999999997,90,0,1,0,672,95328,667296,667296,0,0,667296,1334592,400372,667296,667296,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9528,300,0.10586666666666666,1,32,32,32,32,0,1,1072.0333333333333,966.20000000000005,1552.8000000000002,1742.4000000000001,17.826666666666668,0,0,672,921600,6451200,6451200,12902400,6451200,0,0,0,0,0,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.59999999999999998,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9599,300,0.10665555555555556,1,32,32,32,32,0,1,246.46533333333346,219.14999999999998,368.54000000000002,539.79999999999995,14.676666666666666,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3857983,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.65000000000000002,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9625,300,0.10694444444444444,1,32,32,32,32,0,1,231.34933333333325,204.80000000000001,347.71499999999997,510.69999999999999,12.853333333333333,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3859825,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.69999999999999996,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9629,300,0.10698888888888888,1,32,32,32,32,0,1,231.84866666666659,202.64999999999998,348.66500000000002,1616.4000000000001,11.006666666666666,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3860514,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.75,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9693,300,0.1077,1,32,32,32,32,0,1,223.78599999999986,201.5,337.41000000000003,495.30000000000001,9.25,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3861470,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9701,300,0.10778888888888889,1,31.903333333333332,32,32,32,0.0033333333333333335,0.9966666666666667,229.07133333333331,202.14999999999998,354.61000000000001,800,7.3600000000000003,0.0033333333333333335,0,672,918816,6431712,6431712,0,0,6431712,12863424,3852082,6431712,6431712,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.84999999999999998,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9745,300,0.10827777777777778,1,31.899999999999999,32,32,32,0.0033333333333333335,0.9966666666666667,223.99533333333341,203.30000000000001,342.52500000000009,556,5.6133333333333333,0.0033333333333333335,0,672,918720,6431040,6431040,0,0,6431040,12862080,3854708,6431040,6431040,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9803,300,0.10892222222222223,1,30.833333333333332,32,32,32,0.040000000000000001,0.95999999999999996,218.90299999999999,202.55000000000001,335.55000000000001,559.29999999999995,3.8300000000000001,0.040000000000000001,0,672,888000,6216000,6216000,0,0,6216000,12432000,3729098,6216000,6216000,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.94999999999999996,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,9872,300,0.10968888888888889,1,27.079999999999998,32,32,32,0.17000000000000001,0.82999999999999996,198.28633333333329,201.09999999999999,354.31000000000006,646.70000000000005,1.97,0.17000000000000001,0,672,779904,5459328,5459328,0,0,5459328,10918656,3279086,5459328,5459328,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,-1.5,-1.5,0.54119982655924792,0.70626877231137719,300,10012,300,0.11124444444444445,1,3.2466666666666666,3,5,21,1,0,28.184666666666679,24.149999999999999,48.725000000000051,135,0,1,0,672,93504,654528,654528,0,0,654528,1309056,393052,654528,654528,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-1,-1,1.0411998265592479,0.62946270589708364,300,8041,300,0.089344444444444449,1,32,32,32,32,0,1,1106.7536666666665,981.79999999999995,1650.855,2412.9000000000001,14.486666666666666,0,0,672,921600,6451200,6451200,12902400,6451200,0,0,0,0,0,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.59999999999999998,-1,-1,1.0411998265592479,0.62946270589708364,300,8147,300,0.090522222222222226,1,32,32,32,32,0,1,243.95699999999977,216.94999999999999,361.90499999999997,535.70000000000005,13.626666666666667,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3862736,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.65000000000000002,-1,-1,1.0411998265592479,0.62946270589708364,300,8146,300,0.090511111111111112,1,32,32,32,32,0,1,228.92900000000009,201.80000000000001,341.72499999999997,696.60000000000002,11.903333333333334,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3864302,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
