caseId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,permutationSha256
K200_S15,ROW_COLUMN,4,2,8,2bf4fdd7dd4b4596de41b62f4037d780accd2b33eb4b171f897a7b69c62a2726
K200_S15,ROW_COLUMN,4,6,30,2bf4fdd7dd4b4596de41b62f4037d780accd2b33eb4b171f897a7b69c62a2726
K200_S15,ROW_COLUMN,16,3,10,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_M255K207,ROW_COLUMN,4,0,3,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,ROW_COLUMN,4,4,15,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,ROW_COLUMN,16,1,5,63a09628a7e11c5ac40070a16137d2caad4f0e6435896cd0df6561bebf10e5cb
K200_M255K207,ROW_COLUMN,16,5,20,63a09628a7e11c5ac40070a16137d2caad4f0e6435896cd0df6561bebf10e5cb
K200_M511K421,ROW_COLUMN,4,2,8,f497c93d8a6fa61a97d607a9de76ee7295982cb6ef1b6bc2e27c04bb726a491e
K200_M511K421,ROW_COLUMN,4,6,30,f497c93d8a6fa61a97d607a9de76ee7295982cb6ef1b6bc2e27c04bb726a491e
K200_M511K421,ROW_COLUMN,16,3,10,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K385,ROW_COLUMN,4,0,3,97d8a347fe25f9e8c37ff8c576a791967b5350e2fc733c1aec5a7ac740bd2106
K200_M511K385,ROW_COLUMN,4,4,15,97d8a347fe25f9e8c37ff8c576a791967b5350e2fc733c1aec5a7ac740bd2106
K200_M511K385,ROW_COLUMN,16,1,5,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,ROW_COLUMN,16,5,20,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K300_S15,ROW_COLUMN,4,2,8,381400a871d12948ed338cb5ec4d475273a0e1873e24de75d0dd47fd2a14e172
K300_S15,ROW_COLUMN,4,6,30,381400a871d12948ed338cb5ec4d475273a0e1873e24de75d0dd47fd2a14e172
K300_S15,ROW_COLUMN,16,3,10,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_M255K207,ROW_COLUMN,4,0,3,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,ROW_COLUMN,4,4,15,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,ROW_COLUMN,16,1,5,e89349793d1c1d5674c148f366b4d56600b5dce9c805e9744af0131e3f915eaf
K300_M255K207,ROW_COLUMN,16,5,20,e89349793d1c1d5674c148f366b4d56600b5dce9c805e9744af0131e3f915eaf
K300_M511K421,ROW_COLUMN,4,2,8,5b58830df3c8bf8205cec6e17971b5f1f489f6fafc58938e57d7f0dd8f531c0f
K300_M511K421,ROW_COLUMN,4,6,30,5b58830df3c8bf8205cec6e17971b5f1f489f6fafc58938e57d7f0dd8f531c0f
K300_M511K421,ROW_COLUMN,16,3,10,26a4baccd626788f0406a98ed6382a11bd05b1fc7851414b34a2da34300f621f
K300_M511K385,PSEUDORANDOM,4,0,3,aeed7ea699e9eafb91dfc0aa8b9942b42549176335333634a71cb389fc808195
K300_M511K385,PSEUDORANDOM,4,4,15,aeed7ea699e9eafb91dfc0aa8b9942b42549176335333634a71cb389fc808195
K300_M511K385,PSEUDORANDOM,16,1,5,c52b070ba98e2c5b9d7bab8bc6a5c8f7054070b479fbe1fe427222459679a609
K300_M511K385,PSEUDORANDOM,16,5,20,c52b070ba98e2c5b9d7bab8bc6a5c8f7054070b479fbe1fe427222459679a609
