channelType,profileId,caseName,snrDb,avgDecodeTimeUs,avgTotalReceiverTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics
AWGN,AWGN,BCH-B200,2.565783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,2.765783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,2.965783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,3.1657831483776486,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,3.365783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,3.565783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,3.765783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,3.9657831483776493,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,4.165783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,4.365783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,4.565783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,4.76578314837765,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,4.96578314837765,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-B200,5.065783148377649,31.696580000000029,31.696580000000029,0.0,0.0,0.0,0.0,27.600000000000001,45,114.32500000000054,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
