caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageStartPolicy,targetFER,parameter,maximumToleratedParameter,lowerBound,upperBound,numberOfCrossings,firstCrossing,lastCrossing,method,status
BCH-B200,4.5,-12,0,FRAME_END,0.5,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,4.5,-12,0,FRAME_END,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,-12,0,FRAME_END,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,-12,0,FRAME_MIDDLE,0.5,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,4.5,-12,0,FRAME_MIDDLE,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,-12,0,FRAME_MIDDLE,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,-12,0,FRAME_START,0.5,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,4.5,-12,0,FRAME_START,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,-12,0,FRAME_START,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,-12,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
