caseName,burstMode,sourcePayloadEbN0Db,burstStartPolicy,targetFER,parameter,maximumToleratedParameter,lowerBound,upperBound,numberOfCrossings,firstCrossing,lastCrossing,method,status
BCH-B200,AWGN,6,ON_SEGMENT_BOUNDARY,0.5,burstLength,,5.0,6.0,1,5.0..6.0,5.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,ON_SEGMENT_BOUNDARY,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,ON_SEGMENT_BOUNDARY,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,SEGMENT_INTERIOR,0.5,burstLength,,5.0,6.0,1,5.0..6.0,5.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,SEGMENT_INTERIOR,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,SEGMENT_INTERIOR,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,UNIFORM_RANDOM,0.5,burstLength,,5.0,6.0,1,5.0..6.0,5.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,UNIFORM_RANDOM,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,AWGN,6,UNIFORM_RANDOM,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,FRAME_END,0.5,burstLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
