channelType,profileId,caseName,snrDb,trueSuccessRate,miscorrectionRate,decoderFailureRate,interpretation
AWGN,AWGN,BCH-S200,4.16185135655471,0.80079999999999996,0.19919999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,4.36185135655471,0.83819999999999995,0.1618,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,4.561851356554709,0.88180000000000003,0.1182,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,4.761851356554709,0.91459999999999997,0.085400000000000004,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,4.9618513565547095,0.93440000000000001,0.065600000000000006,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,5.16185135655471,0.95860000000000001,0.041399999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,5.36185135655471,0.96282527881040891,0.03717472118959108,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,5.561851356554709,0.97539672776479269,0.024603272235207283,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,5.761851356554709,0.98294679399727147,0.017053206002728513,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,5.9618513565547095,0.98861436866674257,0.011385631333257429,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,6.16185135655471,0.99137410506340029,0.0086258949365996714,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,6.36185135655471,0.99559917264445719,0.0044008273555428421,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,6.561851356554709,0.99668000000000001,0.00332,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,6.76185135655471,0.99773999999999996,0.0022599999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S200,6.9618513565547095,0.99860000000000004,0.0014,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,3.53871964321762,0.48499999999999999,0.51500000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,3.73871964321762,0.57720000000000005,0.42280000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,3.9387196432176204,0.64319999999999999,0.35680000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,4.13871964321762,0.7006,0.2994,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,4.33871964321762,0.77680000000000005,0.22320000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,4.53871964321762,0.82240000000000002,0.17760000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,4.73871964321762,0.86260000000000003,0.13739999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,4.93871964321762,0.89780000000000004,0.1022,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,5.13871964321762,0.92520000000000002,0.074800000000000005,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,5.33871964321762,0.94240000000000002,0.057599999999999998,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,5.53871964321762,0.95979999999999999,0.0402,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,5.73871964321762,0.97503744383424862,0.024962556165751371,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,5.93871964321762,0.98337213169271698,0.016627868307283005,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,6.13871964321762,0.98766269816791064,0.012337301832089321,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,6.33871964321762,0.99159875661597918,0.0084012433840208352,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,6.53871964321762,0.99443191625602045,0.0055680837439795097,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,6.738719643217619,0.99685999999999997,0.00314,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,6.93871964321762,0.99795999999999996,0.0020400000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,7.13871964321762,0.99883999999999995,0.00116,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,7.338719643217621,0.99927999999999995,0.00072000000000000005,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
AWGN,AWGN,BCH-S300,7.53871964321762,0.99953999999999998,0.00046000000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,6.4618513565547095,0.4758,0.5242,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,6.661851356554709,0.52000000000000002,0.47999999999999998,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,6.86185135655471,0.56740000000000002,0.43259999999999998,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.061851356554709,0.60599999999999998,0.39400000000000002,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.26185135655471,0.64780000000000004,0.35220000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.4618513565547095,0.69040000000000001,0.30959999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.661851356554709,0.71279999999999999,0.28720000000000001,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.86185135655471,0.75039999999999996,0.24959999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.061851356554708,0.77059999999999995,0.22939999999999999,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.261851356554711,0.79079999999999995,0.2092,0,SYNDROME_LOOKUP_FAILURE_ZERO_DOES_NOT_IMPLY_TRUE_SUCCESS
