key,value
branch,S6-Comparision
channel,BPSK_AWGN
snrDefinition,Es/N0
esN0DbStart,-5.0
esN0DbStop,10.0
esN0DbStep,0.5
snrPoints,31
minFrames,1000
targetFrameErrors,200
maxFrames,50000
bchCases,BCH-S200;BCH-B200
ccCases,R12_BLOCK_HARD;R12_BLOCK_SOFT_FLOAT;R12_SLOT_HARD;R12_SLOT_SOFT_FLOAT
ccSlotParameters,D70_W128_S25
ldpcCase,LDPC_BG2_K300_N560
ldpcMaxIterations,32
ldpcNmsAlpha,0.95
bchFormal,YES
ccFormal,NO
ldpcFormal,NO
threadCount,1
buildType,Release
zeroValuePolicy,KEEP_RAW_OMIT_FROM_LOG_PLOT
