field,type,required,description
caseId,string,yes,方案标识
decoder,string,yes,译码器
organization,string,yes,组织方式
payloadBits,uint64,yes,原始负载长度
transmittedBits,uint64,yes,实际发送长度
actualRate,double,yes,原始负载除以实际发送长度
esN0Db,double,yes,符号信噪比
ebN0Db,double,yes,比特信噪比
sigmaSquared,double,yes,实噪声方差
processedFrames,uint64,yes,处理帧数
bitErrors,uint64,yes,译码后负载误比特
frameErrors,uint64,yes,译码后误帧
BER,double,yes,误码率
FER,double,yes,误帧率
avgDecodeTimeUs,double,yes,平均译码时间
medianDecodeTimeUs,double,yes,中位译码时间
p95DecodeTimeUs,double,yes,第95百分位
p99DecodeTimeUs,double,yes,第99百分位
maxDecodeTimeUs,double,yes,最大观测值
decoderMemoryBytes,uint64,yes,译码器总内存
peakWorkspaceBytes,uint64,yes,峰值工作区
stopReason,string,yes,停止原因
seed,uint64,yes,随机种子
gitCommit,string,yes,代码提交
configHash,string,yes,配置哈希
environmentHash,string,yes,环境哈希
