scheme,configurationId,EsN0Db,BER,FER,decodeTimeMeanNs,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,framesProcessed,sourceCsvAbsolutePath,sourceStage,sourceConfigurationId,sourceRowKey,snrMapping,interpolated,synthetic
CC,NO_BURST_AWGN,-5,0.39586333333333334,1,329812.50000000012,544800,,1738000,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-039,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-4.5,0.34947,1,345692.40000000043,603900,,1832500,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-040,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-4,0.28938666666666668,1,341459.39999999979,534300,,1359900,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-041,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-3.5,0.21664666666666665,0.996,338698.50000000017,494400,,1429000,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-042,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-3,0.14286666666666667,0.97399999999999998,346988.39999999997,518200.00000000006,,1447000,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-043,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-2.5,0.081656666666666669,0.89600000000000002,336808.69999999978,549100,,1347100,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-044,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-2,0.035366000000000002,0.64980000000000004,519294.14000000007,1061900,,9936200,5000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-045,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-1.5,0.014286666666666666,0.371,359106.40000000066,571100,,6342900,1000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-048,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-1,0.0048893333333333332,0.1774,490639.21999999898,900800,,4779000,5000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-051,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,-0.5,0.0015425158116654954,0.070274068868587489,344711.03302881232,560500,,2023300,2846,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-054,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,0,0.00035669975186104221,0.020678246484698098,520310.4321753527,966200,,10261200,9672,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-057,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,0.5,7.2926608423267997e-05,0.0048944032498837581,423737.96343880479,680300,,8559000,40863,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-058,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,1,1.2666666666666667e-05,0.00089999999999999998,435675.32799999928,699900,,18117100,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-059,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,1.5,5.3333333333333334e-07,8.0000000000000007e-05,438829.33199999778,702100,,17191900,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-060,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,2,0,0,448274.08800000109,734700,,11681800,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-061,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,2.5,0,0,440326.49600000493,652500,,64885600,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-062,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,3,0,0,438412.69799999852,651400,,29212200,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-063,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,3.5,0,0,439771.05400000169,651300,,53673200,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-064,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,4,0,0,437137.99199999438,638800,,56906900,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-065,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,4.5,0,0,429138.47200000373,617900,,10509300,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-066,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,5,0,0,428915.29400000087,602400,,12815800,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-067,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,5.5,0,0,425244.4760000027,594800,,14578400,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-068,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,6,0,0,428136.93000000069,600100,,13303900,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-069,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,6.5,0,0,428524.55399999832,602000,,19860200,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-070,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,7,0,0,425738.06800000026,591000,,74398800,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-071,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,7.5,0,0,426412.71800000168,594400,,15736600,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-072,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,8,0,0,424441.1019999985,589900,,17389900,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-073,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,8.5,0,0,418683.21400000178,574700,,19441900,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-074,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,9,0,0,408092.92200000002,541200,,16449200,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-075,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,9.5,0,0,405305.45999999857,542100,,4140399.9999999995,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-076,EsN0Db=esN0Db (identity),false,false
CC,NO_BURST_AWGN,10,0,0,405127.67000000051,535500,,5246400,50000,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,CC-B-R12-S,merged-077,EsN0Db=esN0Db (identity),false,false
