phase,caseId,snrDb,ebN0Db,actualRate,sigmaSquared,N_transmitted,framesProcessed,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason
prescan,CC-B-R12-H,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,612,300,27905,300,0.31005555555555553,1,0,6.3289999999999953,209.69999999999999,313.40466666666629,513.10000000000002,1134.5999999999999,0.95722888618974089,0,0,TARGET_ERRORS_REACHED
prescan,CC-B-R12-S,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,612,300,7422,270,0.08246666666666666,0.90000000000000002,0.099999999999999978,6.3289999999999953,209.69999999999999,379.33566666666633,651.39999999999998,1230.5999999999999,0.79085629526004741,0.07908562952600473,0.04901960784313724,TARGET_ERRORS_REACHED
prescan,CC-B-R12-H,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,300,22133,300,0.24592222222222221,1,0,5.5970000000000004,92.5,287.61766666666654,453.69999999999999,838.79999999999995,1.0430513656439746,0,0,TARGET_ERRORS_REACHED
prescan,CC-B-R12-S,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,300,3579,205,0.039766666666666665,0.68333333333333335,0.31666666666666665,5.5970000000000004,92.5,359.57366666666633,590.70000000000005,1451.3,0.83432138616009222,0.26420177228402919,0.15522875816993462,TARGET_ERRORS_REACHED
prescan,CC-B-R12-H,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,612,300,15874,299,0.17637777777777777,0.9966666666666667,0.0033333333333332993,4.780000000000002,10.9,250.17400000000018,342.80000000000001,946.70000000000005,1.1991653808948963,0.0039972179363162805,0.0016339869281045583,TARGET_ERRORS_REACHED
prescan,CC-B-R12-S,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,612,300,1239,110,0.013766666666666667,0.36666666666666664,0.6333333333333333,4.780000000000002,10.9,302.89266666666674,442.69999999999999,857.70000000000005,0.9904498623274689,0.62728491280739695,0.31045751633986923,TARGET_ERRORS_REACHED
prescan,CC-B-R12-H,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,300,10290,292,0.11433333333333333,0.97333333333333338,0.026666666666666616,4.8416666666666703,29.300000000000001,249.64566666666647,344.69999999999999,509.10000000000002,1.2017032140220081,0.032045419040586824,0.013071895424836576,TARGET_ERRORS_REACHED
prescan,CC-B-R12-S,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,300,431,46,0.0047888888888888885,0.15333333333333332,0.84666666666666668,4.8416666666666703,29.300000000000001,314.44399999999985,458.39999999999998,747.20000000000005,0.95406495274198311,0.80777499332154568,0.41503267973856206,TARGET_ERRORS_REACHED
prescan,CC-B-R12-H,-0.5,2.5963016742589877,0.49019607843137253,0.56100922715098167,612,528,10469,446,0.066092171717171716,0.84469696969696972,0.15530303030303028,4.8000000000000007,13.1,254.79659090909092,360.69999999999999,794.10000000000002,1.1774097876648484,0.18285530793279839,0.076128936423054058,TARGET_ERRORS_REACHED
prescan,CC-B-R12-S,-0.5,2.5963016742589877,0.49019607843137253,0.56100922715098167,612,528,224,30,0.0014141414141414141,0.056818181818181816,0.94318181818181823,4.8000000000000007,13.1,313.13257575757564,458.69999999999999,848.20000000000005,0.95806065298123833,0.90362538860730435,0.46234402852049911,TARGET_ERRORS_REACHED
prescan,CC-B-R12-H,0,3.0963016742589877,0.49019607843137253,0.5,612,1601,14250,1002,0.029668956901936289,0.62585883822610866,0.37414116177389134,5.9561524047470424,572.89999999999998,301.1271705184264,494.10000000000002,2490,0.99625682891223055,0.37274068739439487,0.18340253028131928,TARGET_ERRORS_REACHED
prescan,CC-B-R12-S,0,3.0963016742589877,0.49019607843137253,0.5,612,1601,187,30,0.0003893399958359359,0.018738288569643973,0.98126171143035601,5.9561524047470424,572.89999999999998,368.7429106808242,614.29999999999995,3376.5999999999999,0.81357496323413647,0.79832996080001772,0.48101064285801765,TARGET_ERRORS_REACHED
prescan,CC-B-R12-H,0.5,3.5963016742589877,0.49019607843137253,0.44562546906687278,612,2000,7593,743,0.012655,0.3715,0.62850000000000006,7.0258499999999939,828.89999999999998,351.4026999999997,586.29999999999995,3419.8000000000002,0.85372138574917111,0.5365638909433541,0.30808823529411766,MAX_FRAMES_REACHED
prescan,CC-B-R12-S,0.5,3.5963016742589877,0.49019607843137253,0.44562546906687278,612,2000,43,9,7.1666666666666669e-05,0.0044999999999999997,0.99550000000000005,7.0258499999999939,828.89999999999998,445.82945000000075,762.60000000000002,6553.8999999999996,0.67290305743597578,0.66987499367751391,0.48799019607843136,MAX_FRAMES_REACHED
prescan,CC-B-R12-H,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,2000,2711,362,0.0045183333333333334,0.18099999999999999,0.81899999999999995,5.9470999999999936,373.80000000000001,332.46269999999902,478.39999999999998,1200.3,0.90235686589804176,0.73903027317049619,0.40147058823529408,MAX_FRAMES_REACHED
