series,scheme,configurationId,comparisonRole,channelCondition,interleaver,payloadBits,encodedBits,actualRate,burstRatio,x,EsN0Db,metric,rawY,plotted,sourceType,sourceCsvAbsolutePath,sourceStage,sourceRowKey,interpolated,synthetic,exclusionReason,nonMonotonicHighSnrAnomaly
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,,,decodeTimeMeanNsWeighted,428650.00524313963,true,HISTORICAL_FORMAL_WEIGHTED_SUMMARY,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-039;merged-040;merged-041;merged-042;merged-043;merged-044;merged-045;merged-048;merged-051;merged-054;merged-057;merged-058;merged-059;merged-060;merged-061;merged-062;merged-063;merged-064;merged-065;merged-066;merged-067;merged-068;merged-069;merged-070;merged-071;merged-072;merged-073;merged-074;merged-075;merged-076;merged-077,false,false,,false
LDPC无交织近码率基线（AWGN，R=0.46875）,LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,0,,,decodeTimeMeanNsWeighted,93743.16207522614,true,HISTORICAL_FORMAL_WEIGHTED_SUMMARY,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,stage23_s4_final_reintegration,line=126;line=128;line=130;line=132;line=134;line=136;line=138;line=140;line=142;line=144;line=146;line=148;line=150;line=152;line=154;line=156;line=158;line=160;line=162;line=164;line=166;line=168;line=170;line=172;line=174;line=176;line=178;line=180;line=182;line=184;line=186,false,false,,false
