figureId,caseId,legendLabel,styleId,metric,ebn0Index,ebn0Db,actualRate,snrLinear,snrDb,rawY,plotY,denominator,zeroSurrogateApplied,zeroSurrogateRule
stage06_awgn_formal_k300_ber,K300_M255K207,255双块300,STYLE_2,BER,0,3.5,0.75757575757575757,3.3920017251035444,5.3045606445813132,0.020602666666666665,0.020602666666666665,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M255K207,255双块300,STYLE_2,BER,1,4.25,0.75757575757575757,4.0314016057557724,6.0545606445813132,0.0063633333333333337,0.0063633333333333337,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M255K207,255双块300,STYLE_2,BER,2,5,0.75757575757575757,4.7913297881339085,6.8045606445813132,0.00093000000000000005,0.00093000000000000005,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M255K207,255双块300,STYLE_2,BER,3,5.75,0.75757575757575757,5.6945061255824863,7.5545606445813132,5.8133333333333335e-05,5.8133333333333335e-05,15000000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M255K207,255双块300,STYLE_2,BER,4,6.5,0.75757575757575757,6.7679332144085329,8.3045606445813132,2.8666666666666666e-06,2.8666666666666666e-06,15000000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K385,385整块300,STYLE_4,BER,0,3,0.70422535211267601,2.8102286126322245,4.4874165128092471,0.044344000000000001,0.044344000000000001,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K385,385整块300,STYLE_4,BER,1,3.75,0.70422535211267601,3.3399629657206402,5.2374165128092471,0.019436666666666668,0.019436666666666668,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K385,385整块300,STYLE_4,BER,2,4.5,0.70422535211267601,3.9695534243161319,5.9874165128092471,0.0027446666666666665,0.0027446666666666665,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K385,385整块300,STYLE_4,BER,3,5.25,0.70422535211267601,4.7178230867299664,6.7374165128092471,8.786666666666667e-05,8.786666666666667e-05,15000000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K385,385整块300,STYLE_4,BER,4,6,0.70422535211267601,5.6071432472323552,7.4874165128092471,0,3.3333333333333334e-08,15000000,true,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K421,421整块300,STYLE_3,BER,0,4,0.76923076923076927,3.8644406638608926,5.8708664335714449,0.012160666666666667,0.012160666666666667,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K421,421整块300,STYLE_3,BER,1,4.4000000000000004,0.76923076923076927,4.2372749282125648,6.2708664335714452,0.0045866666666666668,0.0045866666666666668,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K421,421整块300,STYLE_3,BER,2,4.7999999999999998,0.76923076923076927,4.6460795698492561,6.6708664335714438,0.00141,0.00141,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K421,421整块300,STYLE_3,BER,3,5.2000000000000002,0.76923076923076927,5.0943249458860178,7.0708664335714442,0.00024382354130443574,0.00024382354130443574,7419300,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_M511K421,421整块300,STYLE_3,BER,4,5.5,0.76923076923076927,5.4586675266703928,7.3708664335714449,5.7066666666666667e-05,5.7066666666666667e-05,15000000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_S15,分块300,STYLE_1,BER,0,5,0.7142857142857143,4.5175395145262565,6.5490195998574317,0.0050953333333333337,0.0050953333333333337,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_S15,分块300,STYLE_1,BER,1,6,0.7142857142857143,5.6872452936213893,7.5490195998574317,0.0014373333333333334,0.0014373333333333334,1500000,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_S15,分块300,STYLE_1,BER,2,7,0.7142857142857143,7.1598176232467452,8.5490195998574325,0.00029250215075110847,0.00029250215075110847,1511100,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_S15,分块300,STYLE_1,BER,3,8,0.7142857142857143,9.0136763497170485,9.5490195998574325,3.6972173574625414e-05,3.6972173574625414e-05,11819700,false,0.5/denominator
stage06_awgn_formal_k300_ber,K300_S15,分块300,STYLE_1,BER,4,9,0.7142857142857143,11.347546210346881,10.549019599857433,3.8666666666666664e-06,3.8666666666666664e-06,15000000,false,0.5/denominator
