caseId,actualLength,frameIndex,snrDb,decoderType,alpha,earlyStopPolicy,payloadHash,transmittedCodewordHash,llrHash,decodedPayloadHash,decodedCodewordHash,errorBitCount,payloadErrorPositionsHash,finalSyndromeWeight,usedIterations,isPayloadCorrect,isCodewordValid,decodeTimeUs,checkNodeUpdates,variableNodeUpdates,messageUpdates,nanInfCount
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_SPA_BP,0,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,97.799999999999997,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,8505881676019026558,17272461741095328094,1,11203927832851028212,1,32,0,0,529,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.65000000000000002,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,8505881676019026558,17272461741095328094,1,11203927832851028212,1,32,0,0,531.29999999999995,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.69999999999999996,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,8505881676019026558,17272461741095328094,1,11203927832851028212,1,32,0,0,521.89999999999998,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.75,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,35.399999999999999,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.80000000000000004,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,35.899999999999999,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.84999999999999998,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,35.299999999999997,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.90000000000000002,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,34.899999999999999,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.94999999999999996,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,34.700000000000003,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_MS,1,SYNDROME_AFTER_FULL_ITERATION,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,2,1,1,38.299999999999997,192,1344,1344,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_SPA_BP,0,ITERATION_LIMIT_ONLY,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,32,1,1,1248.2,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,ITERATION_LIMIT_ONLY,9783873590612325145,2205681835377682537,11829681621035661518,8505881676019026558,17272461741095328094,1,11203927832851028212,1,32,0,0,282.10000000000002,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.65000000000000002,ITERATION_LIMIT_ONLY,9783873590612325145,2205681835377682537,11829681621035661518,8505881676019026558,17272461741095328094,1,11203927832851028212,1,32,0,0,274.10000000000002,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.69999999999999996,ITERATION_LIMIT_ONLY,9783873590612325145,2205681835377682537,11829681621035661518,8505881676019026558,17272461741095328094,1,11203927832851028212,1,32,0,0,277.30000000000001,3072,21504,21504,0
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.75,ITERATION_LIMIT_ONLY,9783873590612325145,2205681835377682537,11829681621035661518,9783873590612325145,2205681835377682537,0,1469598103934665603,0,32,1,1,211.40000000000001,3072,21504,21504,0
