actualLength,decoderType,alpha,snrDb,frames,same_decoded_payload_rate,same_decoded_codeword_rate,same_error_pattern_rate
480,DIRECT_LAYERED_MS,1,3,180,0.8666666666666667,0.8055555555555556,0.8666666666666667
480,DIRECT_LAYERED_NMS,0.59999999999999998,3,180,0.4111111111111111,0.26666666666666666,0.4111111111111111
480,DIRECT_LAYERED_NMS,0.65000000000000002,3,180,0.48333333333333334,0.3388888888888889,0.48333333333333334
480,DIRECT_LAYERED_NMS,0.69999999999999996,3,180,0.5333333333333333,0.4166666666666667,0.5333333333333333
480,DIRECT_LAYERED_NMS,0.75,3,180,0.6277777777777778,0.5055555555555555,0.6277777777777778
480,DIRECT_LAYERED_NMS,0.80000000000000004,3,180,0.7111111111111111,0.5944444444444444,0.7111111111111111
480,DIRECT_LAYERED_NMS,0.84999999999999998,3,180,0.7777777777777778,0.6888888888888889,0.7777777777777778
480,DIRECT_LAYERED_NMS,0.90000000000000002,3,180,0.8611111111111112,0.7777777777777778,0.8611111111111112
480,DIRECT_LAYERED_NMS,0.94999999999999996,3,180,0.8722222222222222,0.8,0.8722222222222222
560,DIRECT_LAYERED_MS,1,3,180,0.8722222222222222,0.7555555555555555,0.8722222222222222
560,DIRECT_LAYERED_NMS,0.59999999999999998,3,180,0.4666666666666667,0.17777777777777778,0.4666666666666667
560,DIRECT_LAYERED_NMS,0.65000000000000002,3,180,0.5555555555555556,0.2611111111111111,0.5555555555555556
560,DIRECT_LAYERED_NMS,0.69999999999999996,3,180,0.6055555555555555,0.34444444444444444,0.6055555555555555
560,DIRECT_LAYERED_NMS,0.75,3,180,0.6777777777777778,0.45,0.6777777777777778
560,DIRECT_LAYERED_NMS,0.80000000000000004,3,180,0.7222222222222222,0.5722222222222222,0.7222222222222222
560,DIRECT_LAYERED_NMS,0.84999999999999998,3,180,0.7722222222222223,0.6277777777777778,0.7722222222222223
560,DIRECT_LAYERED_NMS,0.90000000000000002,3,180,0.8222222222222222,0.7111111111111111,0.8222222222222222
560,DIRECT_LAYERED_NMS,0.94999999999999996,3,180,0.8888888888888888,0.7777777777777778,0.8888888888888888
640,DIRECT_LAYERED_MS,1,-1.5,180,0.5555555555555556,0.5555555555555556,0.5555555555555556
640,DIRECT_LAYERED_NMS,0.59999999999999998,-1.5,180,0.4888888888888889,0.4777777777777778,0.4888888888888889
640,DIRECT_LAYERED_NMS,0.65000000000000002,-1.5,180,0.6222222222222222,0.6166666666666667,0.6222222222222222
640,DIRECT_LAYERED_NMS,0.69999999999999996,-1.5,180,0.7444444444444445,0.7444444444444445,0.7444444444444445
640,DIRECT_LAYERED_NMS,0.75,-1.5,180,0.8111111111111111,0.8111111111111111,0.8111111111111111
640,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,180,0.8444444444444444,0.8444444444444444,0.8444444444444444
640,DIRECT_LAYERED_NMS,0.84999999999999998,-1.5,180,0.8388888888888889,0.8333333333333334,0.8388888888888889
640,DIRECT_LAYERED_NMS,0.90000000000000002,-1.5,180,0.8,0.8,0.8
640,DIRECT_LAYERED_NMS,0.94999999999999996,-1.5,180,0.7111111111111111,0.7111111111111111,0.7111111111111111
