caseId,actualLength,frameIndex,snrDb,decoderType,alpha,earlyStopPolicy,iteration,syndromeWeight,payloadErrorCount,hardDecisionHash,posteriorLlrHash,checkMessageHash,usedIterationsSoFar
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_SPA_BP,0,SYNDROME_AFTER_FULL_ITERATION,1,1,1,17272461741095328094,17863343378957004523,13358148567787277423,1
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_SPA_BP,0,SYNDROME_AFTER_FULL_ITERATION,2,0,0,2205681835377682537,9274443348373042434,11971157935389306135,2
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,1,1,1,17272461741095328094,4294987464281562876,18131263906050949718,1
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,2,1,1,17272461741095328094,12801461951356019598,9223157521710994913,2
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,3,1,1,17272461741095328094,15576926602416939001,4858389154808854462,3
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,4,1,1,17272461741095328094,4504119778772221138,5891398751492187027,4
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,5,1,1,17272461741095328094,2450743549484414597,1351997103903139581,5
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,6,1,1,17272461741095328094,14805241974348690042,13374633431776562860,6
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,7,1,1,17272461741095328094,14805241974348690042,9565044582312592381,7
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,8,1,1,17272461741095328094,14805241974348690042,15395081671602220391,8
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,9,1,1,17272461741095328094,14805241974348690042,9565044582312592381,9
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,10,1,1,17272461741095328094,14805241974348690042,15395081671602220391,10
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,11,1,1,17272461741095328094,14805241974348690042,9565044582312592381,11
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,12,1,1,17272461741095328094,14805241974348690042,15395081671602220391,12
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,13,1,1,17272461741095328094,14805241974348690042,9565044582312592381,13
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,14,1,1,17272461741095328094,14805241974348690042,15395081671602220391,14
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,15,1,1,17272461741095328094,14805241974348690042,9565044582312592381,15
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,16,1,1,17272461741095328094,14805241974348690042,15395081671602220391,16
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,17,1,1,17272461741095328094,14805241974348690042,9565044582312592381,17
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,18,1,1,17272461741095328094,14805241974348690042,15395081671602220391,18
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,19,1,1,17272461741095328094,14805241974348690042,9565044582312592381,19
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,20,1,1,17272461741095328094,14805241974348690042,15395081671602220391,20
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,21,1,1,17272461741095328094,14805241974348690042,9565044582312592381,21
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,22,1,1,17272461741095328094,14805241974348690042,15395081671602220391,22
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,23,1,1,17272461741095328094,14805241974348690042,9565044582312592381,23
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,24,1,1,17272461741095328094,14805241974348690042,15395081671602220391,24
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,25,1,1,17272461741095328094,14805241974348690042,9565044582312592381,25
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,26,1,1,17272461741095328094,14805241974348690042,15395081671602220391,26
LDPC_BG2_K300_N480,480,30000,3,DIRECT_LAYERED_NMS,0.59999999999999998,SYNDROME_AFTER_FULL_ITERATION,27,1,1,17272461741095328094,14805241974348690042,9565044582312592381,27
