caseName,ebn0Db,processedFrames,frameErrors,checkpointCount,status
BCH-B200,3.5,5000,2771,3,COMPLETE
BCH-B200,3.7,5000,2355,3,COMPLETE
BCH-B200,3.9,5000,1783,3,COMPLETE
BCH-B200,4.1,5000,1311,3,COMPLETE
BCH-B200,4.3,5000,927,3,COMPLETE
BCH-B200,4.5,5000,651,3,COMPLETE
BCH-B200,4.7,5000,356,3,COMPLETE
BCH-B200,4.9,5000,207,3,COMPLETE
BCH-B200,5.1,9354,200,5,COMPLETE
BCH-B200,5.3,16373,200,9,COMPLETE
BCH-B200,5.5,37581,200,19,COMPLETE
BCH-B200,5.7,50000,100,26,COMPLETE
BCH-B200,5.9,50000,39,26,COMPLETE
BCH-B200,6,50000,22,26,COMPLETE
BCH-B300,4,5000,1799,3,COMPLETE
BCH-B300,4.2,5000,1212,3,COMPLETE
BCH-B300,4.4,5000,740,3,COMPLETE
BCH-B300,4.6,5000,431,3,COMPLETE
BCH-B300,4.8,5000,238,3,COMPLETE
BCH-B300,5,9580,200,5,COMPLETE
BCH-B300,5.2,24419,200,13,COMPLETE
BCH-B300,5.4,50000,159,26,COMPLETE
BCH-B300,5.5,50000,88,26,COMPLETE
BCH-S200,4.5,5000,2968,3,COMPLETE
BCH-S200,4.7,5000,2534,3,COMPLETE
BCH-S200,4.9,5000,2199,3,COMPLETE
BCH-S200,5.1,5000,1788,3,COMPLETE
BCH-S200,5.3,5000,1544,3,COMPLETE
BCH-S200,5.5,5000,1213,3,COMPLETE
BCH-S200,5.7,5000,996,3,COMPLETE
BCH-S200,5.9,5000,809,3,COMPLETE
BCH-S200,6.1,5000,591,3,COMPLETE
BCH-S200,6.3,5000,427,3,COMPLETE
BCH-S200,6.5,5000,328,3,COMPLETE
BCH-S200,6.7,5000,207,3,COMPLETE
BCH-S200,6.9,5380,200,3,COMPLETE
BCH-S200,7.1,8129,200,5,COMPLETE
BCH-S200,7.3,11728,200,6,COMPLETE
BCH-S200,7.5,17566,200,9,COMPLETE
BCH-S200,7.7,23186,200,12,COMPLETE
BCH-S200,7.9,45446,200,23,COMPLETE
BCH-S200,8.1,50000,166,26,COMPLETE
BCH-S200,8.3,50000,113,26,COMPLETE
BCH-S200,8.5,50000,70,26,COMPLETE
BCH-S300,5,5000,2575,3,COMPLETE
BCH-S300,5.2,5000,2114,3,COMPLETE
BCH-S300,5.4,5000,1784,3,COMPLETE
BCH-S300,5.6,5000,1497,3,COMPLETE
BCH-S300,5.8,5000,1116,3,COMPLETE
BCH-S300,6,5000,888,3,COMPLETE
BCH-S300,6.2,5000,687,3,COMPLETE
BCH-S300,6.4,5000,511,3,COMPLETE
BCH-S300,6.6,5000,374,3,COMPLETE
BCH-S300,6.8,5000,288,3,COMPLETE
BCH-S300,7,5000,201,3,COMPLETE
BCH-S300,7.2,8012,200,5,COMPLETE
BCH-S300,7.4,12028,200,7,COMPLETE
BCH-S300,7.6,16211,200,9,COMPLETE
BCH-S300,7.8,23806,200,12,COMPLETE
BCH-S300,8,35919,200,18,COMPLETE
BCH-S300,8.2,50000,157,26,COMPLETE
BCH-S300,8.4,50000,102,26,COMPLETE
BCH-S300,8.6,50000,58,26,COMPLETE
BCH-S300,8.8,50000,36,26,COMPLETE
BCH-S300,9,50000,23,26,COMPLETE
