organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer,decisionMode
C_CONT_100x3,R12,-3.0,7,311,2000,0.1555,0.14028,0.172041,coarse,Soft Float
C_CONT_100x3,R12,-3.0,8,301,2000,0.1505,0.1355,0.16684,coarse,Soft Float
C_CONT_100x3,R12,-3.0,9,313,2000,0.1565,0.141237,0.17308,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-10,145,1000,0.145,0.124535,0.168182,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-9,148,1000,0.148,0.127339,0.171355,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-8,147,1000,0.147,0.126404,0.170298,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-7,162,1000,0.162,0.140464,0.186123,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-6,150,1000,0.15,0.12921,0.173469,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-5,158,1000,0.158,0.136708,0.18191,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-4,165,1000,0.165,0.143285,0.189279,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-3,160,1000,0.16,0.138585,0.184017,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-2,153,1000,0.153,0.132019,0.176637,coarse,Soft Float
D_CONT_150x2,R12,-3.0,-1,170,1000,0.17,0.147992,0.194534,coarse,Soft Float
D_CONT_150x2,R12,-3.0,0,145,1000,0.145,0.124535,0.168182,coarse,Soft Float
D_CONT_150x2,R12,-3.0,1,138,1000,0.138,0.118005,0.160766,coarse,Soft Float
D_CONT_150x2,R12,-3.0,2,134,1000,0.134,0.114281,0.15652,coarse,Soft Float
D_CONT_150x2,R12,-3.0,3,149,1000,0.149,0.128274,0.172412,coarse,Soft Float
D_CONT_150x2,R12,-3.0,4,147,1000,0.147,0.126404,0.170298,coarse,Soft Float
D_CONT_150x2,R12,-3.0,5,143,1000,0.143,0.122667,0.166065,coarse,Soft Float
D_CONT_150x2,R12,-3.0,6,145,1000,0.145,0.124535,0.168182,coarse,Soft Float
D_CONT_150x2,R12,-3.0,7,155,1000,0.155,0.133894,0.178747,coarse,Soft Float
D_CONT_150x2,R12,-3.0,8,167,1000,0.167,0.145167,0.191382,coarse,Soft Float
D_CONT_150x2,R12,-3.0,9,150,1000,0.15,0.12921,0.173469,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-10,406,5000,0.0812,0.0739466,0.0890964,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-9,410,5000,0.082,0.0747122,0.0899296,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-8,411,5000,0.0822,0.0749036,0.0901379,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-7,429,5000,0.0858,0.0783515,0.0938845,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-6,414,5000,0.0828,0.075478,0.0907626,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-5,415,5000,0.083,0.0756694,0.0909708,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-4,439,5000,0.0878,0.0802688,0.0959641,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-3,432,5000,0.0864,0.0789265,0.0945085,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-2,412,5000,0.0824,0.075095,0.0903461,coarse,Soft Float
B_CONT_50x6,R12,-2.5,-1,409,5000,0.0818,0.0745208,0.0897213,coarse,Soft Float
B_CONT_50x6,R12,-2.5,0,411,5000,0.0822,0.0749036,0.0901379,coarse,Soft Float
B_CONT_50x6,R12,-2.5,1,415,5000,0.083,0.0756694,0.0909708,coarse,Soft Float
B_CONT_50x6,R12,-2.5,2,397,5000,0.0794,0.0722249,0.0872209,coarse,Soft Float
B_CONT_50x6,R12,-2.5,3,427,5000,0.0854,0.0779682,0.0934684,coarse,Soft Float
B_CONT_50x6,R12,-2.5,4,399,5000,0.0798,0.0726074,0.0876378,coarse,Soft Float
B_CONT_50x6,R12,-2.5,5,410,5000,0.082,0.0747122,0.0899296,coarse,Soft Float
B_CONT_50x6,R12,-2.5,6,430,5000,0.086,0.0785432,0.0940925,coarse,Soft Float
B_CONT_50x6,R12,-2.5,7,430,5000,0.086,0.0785432,0.0940925,coarse,Soft Float
B_CONT_50x6,R12,-2.5,8,415,5000,0.083,0.0756694,0.0909708,coarse,Soft Float
B_CONT_50x6,R12,-2.5,9,416,5000,0.0832,0.0758609,0.091179,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-10,170,2000,0.085,0.0735591,0.098032,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-9,170,2000,0.085,0.0735591,0.098032,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-8,185,2000,0.0925,0.0805716,0.105991,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-7,177,2000,0.0885,0.0768283,0.101749,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-6,172,2000,0.086,0.0744925,0.0990948,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-5,163,2000,0.0815,0.0702961,0.0943085,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-4,185,2000,0.0925,0.0805716,0.105991,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-3,176,2000,0.088,0.0763609,0.101219,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-2,173,2000,0.0865,0.0749594,0.099626,coarse,Soft Float
C_CONT_100x3,R12,-2.5,-1,173,2000,0.0865,0.0749594,0.099626,coarse,Soft Float
C_CONT_100x3,R12,-2.5,0,162,2000,0.081,0.0698304,0.0937761,coarse,Soft Float
C_CONT_100x3,R12,-2.5,1,159,2000,0.0795,0.0684344,0.0921779,coarse,Soft Float
C_CONT_100x3,R12,-2.5,2,153,2000,0.0765,0.0656459,0.0889778,coarse,Soft Float
C_CONT_100x3,R12,-2.5,3,170,2000,0.085,0.0735591,0.098032,coarse,Soft Float
C_CONT_100x3,R12,-2.5,4,145,2000,0.0725,0.0619362,0.0847029,coarse,Soft Float
C_CONT_100x3,R12,-2.5,5,163,2000,0.0815,0.0702961,0.0943085,coarse,Soft Float
C_CONT_100x3,R12,-2.5,6,167,2000,0.0835,0.0721599,0.096437,coarse,Soft Float
C_CONT_100x3,R12,-2.5,7,167,2000,0.0835,0.0721599,0.096437,coarse,Soft Float
C_CONT_100x3,R12,-2.5,8,166,2000,0.083,0.0716937,0.0959051,coarse,Soft Float
C_CONT_100x3,R12,-2.5,9,169,2000,0.0845,0.0730926,0.0975005,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-10,76,1000,0.076,0.0611494,0.0940956,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-9,82,1000,0.082,0.066552,0.100647,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-8,72,1000,0.072,0.0575639,0.0897118,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-7,89,1000,0.089,0.0728882,0.108257,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-6,83,1000,0.083,0.067455,0.101736,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-5,85,1000,0.085,0.0692633,0.103913,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-4,84,1000,0.084,0.0683588,0.102825,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-3,85,1000,0.085,0.0692633,0.103913,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-2,82,1000,0.082,0.066552,0.100647,coarse,Soft Float
D_CONT_150x2,R12,-2.5,-1,98,1000,0.098,0.081082,0.117995,coarse,Soft Float
D_CONT_150x2,R12,-2.5,0,78,1000,0.078,0.0629472,0.0962826,coarse,Soft Float
D_CONT_150x2,R12,-2.5,1,85,1000,0.085,0.0692633,0.103913,coarse,Soft Float
D_CONT_150x2,R12,-2.5,2,84,1000,0.084,0.0683588,0.102825,coarse,Soft Float
D_CONT_150x2,R12,-2.5,3,96,1000,0.096,0.0792569,0.115835,coarse,Soft Float
D_CONT_150x2,R12,-2.5,4,84,1000,0.084,0.0683588,0.102825,coarse,Soft Float
D_CONT_150x2,R12,-2.5,5,78,1000,0.078,0.0629472,0.0962826,coarse,Soft Float
D_CONT_150x2,R12,-2.5,6,93,1000,0.093,0.0765237,0.112591,coarse,Soft Float
D_CONT_150x2,R12,-2.5,7,94,1000,0.094,0.0774342,0.113673,coarse,Soft Float
D_CONT_150x2,R12,-2.5,8,89,1000,0.089,0.0728882,0.108257,coarse,Soft Float
D_CONT_150x2,R12,-2.5,9,86,1000,0.086,0.0701685,0.105,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-10,195,5000,0.039,0.0339782,0.0447296,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-9,182,5000,0.0364,0.0315546,0.0419572,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-8,175,5000,0.035,0.0302524,0.0404615,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-7,185,5000,0.037,0.0321133,0.0425976,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-6,202,5000,0.0404,0.035286,0.0462197,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-5,181,5000,0.0362,0.0313684,0.0417437,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-4,187,5000,0.0374,0.032486,0.0430243,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-3,190,5000,0.038,0.0330453,0.0436641,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-2,195,5000,0.039,0.0339782,0.0447296,coarse,Soft Float
B_CONT_50x6,R12,-2.0,-1,199,5000,0.0398,0.0347253,0.0455813,coarse,Soft Float
B_CONT_50x6,R12,-2.0,0,196,5000,0.0392,0.0341649,0.0449426,coarse,Soft Float
B_CONT_50x6,R12,-2.0,1,192,5000,0.0384,0.0334183,0.0440904,coarse,Soft Float
B_CONT_50x6,R12,-2.0,2,183,5000,0.0366,0.0317408,0.0421707,coarse,Soft Float
B_CONT_50x6,R12,-2.0,3,200,5000,0.04,0.0349121,0.0457941,coarse,Soft Float
B_CONT_50x6,R12,-2.0,4,189,5000,0.0378,0.0328588,0.0434509,coarse,Soft Float
B_CONT_50x6,R12,-2.0,5,197,5000,0.0394,0.0343517,0.0451555,coarse,Soft Float
B_CONT_50x6,R12,-2.0,6,205,5000,0.041,0.035847,0.0468578,coarse,Soft Float
B_CONT_50x6,R12,-2.0,7,186,5000,0.0372,0.0322996,0.042811,coarse,Soft Float
B_CONT_50x6,R12,-2.0,8,201,5000,0.0402,0.035099,0.0460069,coarse,Soft Float
B_CONT_50x6,R12,-2.0,9,191,5000,0.0382,0.0332318,0.0438773,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-10,83,2000,0.0415,0.0336024,0.0511555,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-9,71,2000,0.0355,0.0282399,0.0445411,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-8,70,2000,0.035,0.0277956,0.0439873,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-7,73,2000,0.0365,0.0291298,0.0456474,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-6,77,2000,0.0385,0.0309143,0.0478551,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-5,83,2000,0.0415,0.0336024,0.0511555,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-4,74,2000,0.037,0.0295753,0.0461999,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-3,74,2000,0.037,0.0295753,0.0461999,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-2,74,2000,0.037,0.0295753,0.0461999,coarse,Soft Float
C_CONT_100x3,R12,-2.0,-1,87,2000,0.0435,0.0354013,0.053349,coarse,Soft Float
C_CONT_100x3,R12,-2.0,0,79,2000,0.0395,0.0318089,0.0489567,coarse,Soft Float
C_CONT_100x3,R12,-2.0,1,79,2000,0.0395,0.0318089,0.0489567,coarse,Soft Float
C_CONT_100x3,R12,-2.0,2,72,2000,0.036,0.0286846,0.0450944,coarse,Soft Float
C_CONT_100x3,R12,-2.0,3,72,2000,0.036,0.0286846,0.0450944,coarse,Soft Float
C_CONT_100x3,R12,-2.0,4,70,2000,0.035,0.0277956,0.0439873,coarse,Soft Float
C_CONT_100x3,R12,-2.0,5,76,2000,0.038,0.0304676,0.0473038,coarse,Soft Float
C_CONT_100x3,R12,-2.0,6,79,2000,0.0395,0.0318089,0.0489567,coarse,Soft Float
C_CONT_100x3,R12,-2.0,7,70,2000,0.035,0.0277956,0.0439873,coarse,Soft Float
C_CONT_100x3,R12,-2.0,8,84,2000,0.042,0.0340516,0.0517044,coarse,Soft Float
C_CONT_100x3,R12,-2.0,9,80,2000,0.04,0.0322567,0.0495069,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-10,34,1000,0.034,0.0244313,0.0471352,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-9,35,1000,0.035,0.0252723,0.0482866,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-8,34,1000,0.034,0.0244313,0.0471352,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-7,36,1000,0.036,0.0261156,0.0494357,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-6,45,1000,0.045,0.0337995,0.0596828,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-5,31,1000,0.031,0.021924,0.0436655,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-4,35,1000,0.035,0.0252723,0.0482866,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-3,38,1000,0.038,0.027809,0.0517269,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-2,39,1000,0.039,0.028659,0.0528693,coarse,Soft Float
D_CONT_150x2,R12,-2.0,-1,44,1000,0.044,0.0329382,0.0585518,coarse,Soft Float
D_CONT_150x2,R12,-2.0,0,34,1000,0.034,0.0244313,0.0471352,coarse,Soft Float
D_CONT_150x2,R12,-2.0,1,35,1000,0.035,0.0252723,0.0482866,coarse,Soft Float
D_CONT_150x2,R12,-2.0,2,32,1000,0.032,0.0227571,0.0448247,coarse,Soft Float
D_CONT_150x2,R12,-2.0,3,43,1000,0.043,0.0320787,0.057419,coarse,Soft Float
D_CONT_150x2,R12,-2.0,4,30,1000,0.03,0.0210937,0.0425034,coarse,Soft Float
D_CONT_150x2,R12,-2.0,5,41,1000,0.041,0.030365,0.055148,coarse,Soft Float
D_CONT_150x2,R12,-2.0,6,45,1000,0.045,0.0337995,0.0596828,coarse,Soft Float
D_CONT_150x2,R12,-2.0,7,40,1000,0.04,0.029511,0.0540096,coarse,Soft Float
D_CONT_150x2,R12,-2.0,8,42,1000,0.042,0.0312209,0.0562844,coarse,Soft Float
D_CONT_150x2,R12,-2.0,9,41,1000,0.041,0.030365,0.055148,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-10,92,5000,0.0184,0.0150277,0.0225117,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-9,72,5000,0.0144,0.0114509,0.0180946,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-8,64,5000,0.0128,0.010037,0.016311,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-7,82,5000,0.0164,0.0132327,0.0203099,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-6,95,5000,0.019,0.0155685,0.02317,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-5,71,5000,0.0142,0.0112736,0.0178723,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-4,70,5000,0.014,0.0110964,0.0176498,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-3,82,5000,0.0164,0.0132327,0.0203099,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-2,77,5000,0.0154,0.01234,0.0192041,coarse,Soft Float
B_CONT_50x6,R12,-1.5,-1,84,5000,0.0168,0.0135907,0.0207512,coarse,Soft Float
B_CONT_50x6,R12,-1.5,0,73,5000,0.0146,0.0116284,0.0183168,coarse,Soft Float
B_CONT_50x6,R12,-1.5,1,80,5000,0.016,0.0128752,0.019868,coarse,Soft Float
B_CONT_50x6,R12,-1.5,2,71,5000,0.0142,0.0112736,0.0178723,coarse,Soft Float
B_CONT_50x6,R12,-1.5,3,85,5000,0.017,0.0137699,0.0209717,coarse,Soft Float
B_CONT_50x6,R12,-1.5,4,80,5000,0.016,0.0128752,0.019868,coarse,Soft Float
B_CONT_50x6,R12,-1.5,5,85,5000,0.017,0.0137699,0.0209717,coarse,Soft Float
B_CONT_50x6,R12,-1.5,6,76,5000,0.0152,0.0121619,0.0189825,coarse,Soft Float
B_CONT_50x6,R12,-1.5,7,60,5000,0.012,0.00933454,0.0154147,coarse,Soft Float
B_CONT_50x6,R12,-1.5,8,82,5000,0.0164,0.0132327,0.0203099,coarse,Soft Float
