organization,rateCase,decisionMode,windowBits,slideBits,dtb,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
C_CONT_100x3,R12,Hard,128,25,70,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,100,3,1000,127609,1000,0.4253633333333333,1.0,0.4235951521416055,0.4271334259251293,0.9961732415144448,1.0,0.442525,0.42272307692307692,1.0468437238417585,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1351.6113000000005,1378.9,1736.7,2498.9,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,150,2,1000,127609,1000,0.4253633333333333,1.0,0.4235951521416055,0.4271334259251293,0.9961732415144448,1.0,0.44495000000000001,0.42396428571428574,1.0494987785359278,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1353.2870000000005,1374.8,1769.3,4892.6,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
A_BLOCK_300,R12,Hard,306,300,306,-3.5,-3.5,-0.4036983257410122,0.4901960784313725,1.1193605692841695,300,1,1000,119667,1000,0.39889,1.0,0.3971390758149192,0.4006435135512667,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,305.37070000000017,302.1,428.0,1441.5,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-3.5,-3.5,-0.4036983257410122,0.4901960784313725,1.1193605692841695,50,6,1000,119605,1000,0.3986833333333333,1.0,0.3969325646576207,0.4004366966678406,0.9961732415144448,1.0,0.41164000000000001,0.39220500000000003,1.049553167348708,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1377.3270999999995,1390.5,1766.2,4249.8,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
C_CONT_100x3,R12,Hard,128,25,70,-3.5,-3.5,-0.4036983257410122,0.4901960784313725,1.1193605692841695,100,3,1000,119605,1000,0.3986833333333333,1.0,0.3969325646576207,0.4004366966678406,0.9961732415144448,1.0,0.40799999999999997,0.39724999999999999,1.0270610446821899,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1372.0069000000033,1379.6,1797.6,4166.5,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-3.5,-3.5,-0.4036983257410122,0.4901960784313725,1.1193605692841695,150,2,1000,119605,1000,0.3986833333333333,1.0,0.3969325646576207,0.4004366966678406,0.9961732415144448,1.0,0.4229,0.39695357142857141,1.0653638874643492,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1371.6679999999983,1377.1,1818.3,5162.1,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
A_BLOCK_300,R12,Hard,306,300,306,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,300,1,1000,107239,1000,0.3574633333333333,1.0,0.3557502156792981,0.3591801012655301,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,306.50540000000024,302.6,390.7,1446.4,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,50,6,1000,107091,1000,0.35697,1.0,0.3552574146787074,0.3586862482334236,0.9961732415144448,1.0,0.37335000000000002,0.34877999999999998,1.0704455530707038,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1388.210600000002,1394.8,1780.0,3514.1,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
C_CONT_100x3,R12,Hard,128,25,70,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,100,3,1000,107091,1000,0.35697,1.0,0.3552574146787074,0.3586862482334236,0.9961732415144448,1.0,0.37232500000000002,0.35460769230769229,1.0499631228443134,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1359.2394,1383.5,1734.9,3175.6,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,150,2,1000,107091,1000,0.35697,1.0,0.3552574146787074,0.3586862482334236,0.9961732415144448,1.0,0.37685000000000002,0.35554999999999998,1.0599071860497822,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1371.4152000000015,1382.2,1788.0,4731.6,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
