organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R12,-5.0,-10,2065,5000,0.413,0.399424,0.426709,coarse
B_CONT_50x6,R12,-5.0,-9,2037,5000,0.4074,0.393857,0.421085,coarse
B_CONT_50x6,R12,-5.0,-8,2107,5000,0.4214,0.407779,0.435142,coarse
B_CONT_50x6,R12,-5.0,-7,2077,5000,0.4154,0.401811,0.429119,coarse
B_CONT_50x6,R12,-5.0,-6,2092,5000,0.4184,0.404795,0.432131,coarse
B_CONT_50x6,R12,-5.0,-5,2079,5000,0.4158,0.402209,0.429521,coarse
B_CONT_50x6,R12,-5.0,-4,2086,5000,0.4172,0.403601,0.430926,coarse
B_CONT_50x6,R12,-5.0,-3,2089,5000,0.4178,0.404198,0.431528,coarse
B_CONT_50x6,R12,-5.0,-2,2070,5000,0.414,0.400419,0.427713,coarse
B_CONT_50x6,R12,-5.0,-1,2046,5000,0.4092,0.395646,0.422893,coarse
B_CONT_50x6,R12,-5.0,0,2118,5000,0.4236,0.409967,0.43735,coarse
B_CONT_50x6,R12,-5.0,1,2057,5000,0.4114,0.397833,0.425103,coarse
B_CONT_50x6,R12,-5.0,2,2104,5000,0.4208,0.407182,0.43454,coarse
B_CONT_50x6,R12,-5.0,3,2081,5000,0.4162,0.402606,0.429922,coarse
B_CONT_50x6,R12,-5.0,4,2039,5000,0.4078,0.394254,0.421487,coarse
B_CONT_50x6,R12,-5.0,5,2122,5000,0.4244,0.410763,0.438153,coarse
B_CONT_50x6,R12,-5.0,6,2128,5000,0.4256,0.411958,0.439357,coarse
B_CONT_50x6,R12,-5.0,7,2090,5000,0.418,0.404397,0.431729,coarse
B_CONT_50x6,R12,-5.0,8,2050,5000,0.41,0.396441,0.423697,coarse
B_CONT_50x6,R12,-5.0,9,2079,5000,0.4158,0.402209,0.429521,coarse
C_CONT_100x3,R12,-5.0,-10,827,2000,0.4135,0.392103,0.435228,coarse
C_CONT_100x3,R12,-5.0,-9,827,2000,0.4135,0.392103,0.435228,coarse
C_CONT_100x3,R12,-5.0,-8,868,2000,0.434,0.412426,0.455827,coarse
C_CONT_100x3,R12,-5.0,-7,807,2000,0.4035,0.382204,0.425166,coarse
C_CONT_100x3,R12,-5.0,-6,849,2000,0.4245,0.403003,0.446286,coarse
C_CONT_100x3,R12,-5.0,-5,842,2000,0.421,0.399534,0.442769,coarse
C_CONT_100x3,R12,-5.0,-4,862,2000,0.431,0.409449,0.452815,coarse
