chapter,beforeChineseChars,afterChineseChars,difference,reductionPercent
01,2666,2622,44,1.65
02,2723,2678,45,1.65
03,3922,3953,-31,-0.79
04,5983,5927,56,0.94
05,7605,7480,125,1.64
06,4069,4044,25,0.61
07,6213,6233,-20,-0.32
08,5796,5794,2,0.03
09,6601,6627,-26,-0.39
10,5084,5089,-5,-0.10
TOTAL,50662,50447,215,0.42
