stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,guaranteeValue
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,0,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,270,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,1,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,271,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,2,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,272,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,3,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,273,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,4,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,274,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,5,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,275,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,6,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,276,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,7,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,277,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,8,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,278,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
s2-07b,formal,BCH-S200,200,285,SEGMENTED,1,1,9,NONE,100,19,1900,1900,380000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,279,true,true,2.1684043449710089e-19,0.002017740922121561,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,EXHAUSTIVE_GROUPED_BY_R,0.012395646666666668,a4fc32eba59cd09a,,,true,0,1
