channelType,profileId,caseName,payloadGroup,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,processedFrames,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessRate,miscorrectionRate,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics,xSemantic,bandwidthConvention,plotStatus
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,5.4,3.9387196432176204,5000,23524,4796,0.015682666666666668,0.95920000000000005,0.040800000000000003,0.95920000000000005,0,0.023469047619047619,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,5.6,4.13871964321762,5000,22226,4738,0.014817333333333333,0.9476,0.052400000000000002,0.9476,0,0.021817142857142858,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,5.8,4.33871964321762,5000,21062,4711,0.014041333333333333,0.94220000000000004,0.057799999999999997,0.94220000000000004,0,0.020191428571428572,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,6.0,4.53871964321762,5000,19914,4663,0.013276,0.93259999999999998,0.067400000000000002,0.93259999999999998,0,0.018725238095238097,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,6.2,4.73871964321762,5000,19089,4642,0.012725999999999999,0.9284,0.071599999999999997,0.9284,0,0.017488095238095237,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,6.4,4.93871964321762,5000,18365,4619,0.012243333333333333,0.92379999999999995,0.076200000000000004,0.92379999999999995,0,0.016126666666666668,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,6.6,5.13871964321762,5000,17829,4565,0.011886000000000001,0.91300000000000003,0.086999999999999994,0.91300000000000003,0,0.015140000000000001,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,6.8,5.33871964321762,5000,17061,4522,0.011374,0.90439999999999998,0.095600000000000004,0.90439999999999998,0,0.01403047619047619,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,7.0,5.53871964321762,5000,16444,4459,0.010962666666666667,0.89180000000000004,0.1082,0.89180000000000004,0,0.013144285714285714,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-S300,300,300,420,0.7142857142857143,7.2,5.73871964321762,5000,15970,4424,0.010646666666666667,0.88480000000000003,0.1152,0.88480000000000003,0,0.012239999999999999,20.221119999999956,33.841019999999951,31.5,38.105000000000018,64.009000000000199,54.062139999999886,48.299999999999997,68.400000000000006,110.21400000000031,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
