stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,plotStatus
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,10,,NONE,5000,411,5000,5000,1500000,36641,4967,0.024427333333333332,0.99339999999999995,0.0066,1,0,0.99339999999999995,0,1.585,8.3658000000000001,0,0.12659999999999999,1.4583999999999999,0,410,false,false,0.99074594243385383,0.99529648928676373,2026072607,10005808911069659570,9322268736733304657,9322268736733304657,TARGET_FRAME_ERRORS,0.075044299999999994,4a5d4da02f5a2def,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,11,,NONE,5000,410,5000,5000,1500000,39344,4979,0.026229333333333334,0.99580000000000002,0.0041999999999999997,1,0,0.99580000000000002,0,1.6517999999999999,9.0434000000000001,0,0.1288,1.5229999999999999,0,409,false,false,0.9935875211615961,0.99725122558968549,2026072607,10005808911069659570,15332883568349115657,15332883568349115657,TARGET_FRAME_ERRORS,0.074422299999999997,211474b11d2f8eac,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,12,,NONE,5000,409,5000,5000,1500000,42372,4981,0.028247999999999999,0.99619999999999997,0.0038,1,0,0.99619999999999997,0,1.7296,9.6110000000000007,0,0.13339999999999999,1.5962000000000001,0,408,false,false,0.99407227144061105,0.99756586114911439,2026072607,10005808911069659570,9936353396393369976,9936353396393369976,TARGET_FRAME_ERRORS,0.071980799999999998,f6bbaee0392ac5d2,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,13,,NONE,5000,408,5000,5000,1500000,46553,5000,0.031035333333333335,1,0,1,0,1,0,1.7906,10.2036,0,0.12939999999999999,1.6612,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,568125826331953805,568125826331953805,TARGET_FRAME_ERRORS,0.074276800000000004,392c5b79ad66eb41,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,14,,NONE,5000,407,5000,5000,1500000,50894,5000,0.033929333333333332,1,0,1,0,1,0,1.8597999999999999,10.736599999999999,0,0.128,1.7318,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,12480292504368282952,12480292504368282952,TARGET_FRAME_ERRORS,0.074345599999999998,6f887ef0e6262a8d,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,15,,NONE,5000,406,5000,5000,1500000,54218,5000,0.036145333333333335,1,0,1,0,1,0,1.9263999999999999,11.2902,0,0.13039999999999999,1.796,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,7153744158337532346,7153744158337532346,TARGET_FRAME_ERRORS,0.077110600000000001,cabea65e803be3a5,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,16,,NONE,5000,405,5000,5000,1500000,57796,5000,0.038530666666666664,1,0,1,0,1,0,2,11.7172,0,0.1366,1.8633999999999999,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,13012080238363114636,13012080238363114636,TARGET_FRAME_ERRORS,0.074149599999999996,36591dd91375466c,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,17,,NONE,5000,404,5000,5000,1500000,61489,5000,0.040992666666666663,1,0,1,0,1,0,2.0644,12.1782,0,0.1288,1.9356,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,15383346833692189589,15383346833692189589,TARGET_FRAME_ERRORS,0.076370499999999994,ea26d0b0dfcbda6b,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,18,,NONE,5000,403,5000,5000,1500000,65246,5000,0.043497333333333332,1,0,1,0,1,0,2.1286,12.615,0,0.12859999999999999,2,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,12595887830436951153,12595887830436951153,TARGET_FRAME_ERRORS,0.073431999999999997,8416fa16a28472fe,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,19,,NONE,5000,402,5000,5000,1500000,69000,5000,0.045999999999999999,1,0,1,0,1,0,2.1892,12.948,0,0.12720000000000001,2.0619999999999998,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,14846543798863526297,14846543798863526297,TARGET_FRAME_ERRORS,0.074957499999999996,6004d0369b5e7d5d,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,20,,NONE,5000,401,5000,5000,1500000,72579,5000,0.048385999999999998,1,0,1,0,1,0,2.2597999999999998,13.3276,0,0.1326,2.1272000000000002,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,1854904982085590202,1854904982085590202,TARGET_FRAME_ERRORS,0.074148400000000003,1c76f7afc06310dd,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,21,,NONE,5000,400,5000,5000,1500000,76336,5000,0.050890666666666667,1,0,1,0,1,0,2.3315999999999999,13.669600000000001,0,0.12920000000000001,2.2023999999999999,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,14337885963671678849,14337885963671678849,TARGET_FRAME_ERRORS,0.072630600000000003,9308ebd127cab90f,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,22,,NONE,5000,399,5000,5000,1500000,79824,5000,0.053215999999999999,1,0,1,0,1,0,2.3807999999999998,13.8698,0,0.1244,2.2564000000000002,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,5601236450870155005,5601236450870155005,TARGET_FRAME_ERRORS,0.0724934,c74e54c5ff50a5a0,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,23,,NONE,5000,398,5000,5000,1500000,83474,5000,0.055649333333333335,1,0,1,0,1,0,2.4590000000000001,14.187799999999999,0,0.13200000000000001,2.327,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,2434939610171538647,2434939610171538647,TARGET_FRAME_ERRORS,0.074088699999999993,76085818e257c185,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,24,,NONE,5000,397,5000,5000,1500000,87300,5000,0.058200000000000002,1,0,1,0,1,0,2.5196000000000001,14.4094,0,0.1336,2.3860000000000001,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,11487366702018243304,11487366702018243304,TARGET_FRAME_ERRORS,0.076640299999999995,d0995c4dd7a9010a,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,25,,NONE,5000,396,5000,5000,1500000,90925,5000,0.060616666666666666,1,0,1,0,1,0,2.5939999999999999,14.580399999999999,0,0.12620000000000001,2.4678,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,13190804214753277864,13190804214753277864,TARGET_FRAME_ERRORS,0.073862899999999995,2db5f061e8212dec,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,26,,NONE,5000,395,5000,5000,1500000,94503,5000,0.063002000000000002,1,0,1,0,1,0,2.6682000000000001,14.736800000000001,0,0.13339999999999999,2.5348000000000002,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,13264869540255875875,13264869540255875875,TARGET_FRAME_ERRORS,0.073719499999999993,6c08bccb28738448,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,27,,NONE,5000,394,5000,5000,1500000,98168,5000,0.065445333333333328,1,0,1,0,1,0,2.7320000000000002,14.863200000000001,0,0.12640000000000001,2.6055999999999999,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,8635780724249552868,8635780724249552868,TARGET_FRAME_ERRORS,0.0761014,d3ff2c6a10a39e92,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,28,,NONE,5000,393,5000,5000,1500000,101966,5000,0.067977333333333334,1,0,1,0,1,0,2.7936000000000001,14.9276,0,0.12939999999999999,2.6642000000000001,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,499839465572491057,499839465572491057,TARGET_FRAME_ERRORS,0.072968900000000003,586bd34b75dc20b4,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,29,,NONE,5000,392,5000,5000,1500000,105824,5000,0.070549333333333339,1,0,1,0,1,0,2.8586,15,0,0.13159999999999999,2.7269999999999999,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,7895473000134931628,7895473000134931628,TARGET_FRAME_ERRORS,0.072516899999999995,e8591dddb86c6204,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,30,,NONE,5000,391,5000,5000,1500000,109124,5000,0.072749333333333333,1,0,1,0,1,0,2.9378000000000002,15,0,0.13800000000000001,2.7997999999999998,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,14161951804318349618,14161951804318349618,TARGET_FRAME_ERRORS,0.076201500000000005,75a45afdbfd98302,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,31,,NONE,5000,390,5000,5000,1500000,112895,5000,0.075263333333333335,1,0,1,0,1,0,3,15,0,0.13020000000000001,2.8698000000000001,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,2494909341792388279,2494909341792388279,TARGET_FRAME_ERRORS,0.075001100000000001,4a6fbd9d24b2eff7,,,true,0,PLOTTED
